theta_low,theta_high,p_low,p_high,best_threshold,best_fom
5.0,11.0,0.5,0.95,0.4606060606060606,96.33661017181761
5.0,11.0,0.95,1.4,0.5853535353535353,206.45854603466617
5.0,11.0,1.4,1.85,0.4893939393939394,247.1286191855327
5.0,11.0,1.85,2.3,0.42222222222222217,263.8956456491819
5.0,11.0,2.3,2.75,0.42222222222222217,266.35688627673204
5.0,11.0,2.75,3.2,0.4126262626262626,251.66851952159692
5.0,11.0,3.2,3.65,0.3742424242424242,220.1530642157342
5.0,11.0,3.65,4.1,0.28787878787878785,181.2298076650295
5.0,11.0,4.1,4.55,0.22070707070707068,146.39626798711055
5.0,11.0,4.55,5.0,0.21111111111111108,113.99999764818274
11.0,17.0,0.5,0.95,0.5757575757575757,173.1334811797198
11.0,17.0,0.95,1.4,0.5181818181818182,294.7831174111563
11.0,17.0,1.4,1.85,0.4893939393939394,326.3329014981385
11.0,17.0,1.85,2.3,0.43181818181818177,332.28594430182045
11.0,17.0,2.3,2.75,0.4126262626262626,326.91209664923053
11.0,17.0,2.75,3.2,0.3934343434343434,299.24532402977206
11.0,17.0,3.2,3.65,0.32626262626262625,250.7466102385993
11.0,17.0,3.65,4.1,0.26868686868686864,190.8712651383697
11.0,17.0,4.1,4.55,0.21111111111111108,135.48829562482842
11.0,17.0,4.55,5.0,0.14393939393939392,91.71935549324299
17.0,23.0,0.5,0.95,0.5757575757575757,209.62426451980244
17.0,23.0,0.95,1.4,0.498989898989899,310.32132660906893
17.0,23.0,1.4,1.85,0.4702020202020202,312.88276066224216
17.0,23.0,1.85,2.3,0.4797979797979798,297.6304529063303
17.0,23.0,2.3,2.75,0.4797979797979798,282.78024287371517
17.0,23.0,2.75,3.2,0.3838383838383838,249.25485928186814
17.0,23.0,3.2,3.65,0.27828282828282824,192.5551190627376
17.0,23.0,3.65,4.1,0.2015151515151515,128.27740085788113
17.0,23.0,4.1,4.55,0.17272727272727273,75.26836725272804
17.0,23.0,4.55,5.0,0.17272727272727273,40.222602919676135
23.0,29.0,0.5,0.95,0.29747474747474745,214.32608345438823
23.0,29.0,0.95,1.4,0.4126262626262626,280.2002521187471
23.0,29.0,1.4,1.85,0.4893939393939394,252.77898750780366
23.0,29.0,1.85,2.3,0.45101010101010097,222.58323499259603
23.0,29.0,2.3,2.75,0.403030303030303,206.97387544504147
23.0,29.0,2.75,3.2,0.355050505050505,171.758375863766
23.0,29.0,3.2,3.65,0.26868686868686864,108.01679746911111
23.0,29.0,3.65,4.1,0.26868686868686864,49.4585663538228
23.0,29.0,4.1,4.55,0.2590909090909091,17.8361738140701
23.0,29.0,4.55,5.0,0.4893939393939394,7.36327520755392
29.0,35.0,0.5,0.95,0.403030303030303,189.55875741270393
29.0,35.0,0.95,1.4,0.2303030303030303,219.4302494442949
29.0,35.0,1.4,1.85,0.2494949494949495,176.29027502374026
29.0,35.0,1.85,2.3,0.32626262626262625,145.4220392221393
29.0,35.0,2.3,2.75,0.28787878787878785,125.21032209825273
29.0,35.0,2.75,3.2,0.3934343434343434,66.02754312836674
29.0,35.0,3.2,3.65,0.4893939393939394,15.443571483177271
29.0,35.0,3.65,4.1,0.4606060606060606,5.547001962252292
29.0,35.0,4.1,4.55,0.43181818181818177,4.4
29.0,35.0,4.55,5.0,0.28787878787878785,2.846049894151541
