theta_low,theta_high,p_low,p_high,best_threshold,best_fom
5.0,11.0,0.5,0.95,0.7964646464646464,96.33661017181761
5.0,11.0,0.95,1.4,0.7868686868686868,206.45854603466617
5.0,11.0,1.4,1.85,0.7292929292929292,247.1286191855327
5.0,11.0,1.85,2.3,0.6909090909090909,263.8956456491819
5.0,11.0,2.3,2.75,0.6429292929292929,266.35688627673204
5.0,11.0,2.75,3.2,0.5949494949494949,251.66851952159692
5.0,11.0,3.2,3.65,0.5181818181818182,220.1530642157342
5.0,11.0,3.65,4.1,0.43181818181818177,181.2298076650295
5.0,11.0,4.1,4.55,0.32626262626262625,146.39626798711055
5.0,11.0,4.55,5.0,0.26868686868686864,113.99999764818274
11.0,17.0,0.5,0.95,0.8444444444444443,173.1334811797198
11.0,17.0,0.95,1.4,0.7964646464646464,294.7831174111563
11.0,17.0,1.4,1.85,0.7292929292929292,326.3329014981385
11.0,17.0,1.85,2.3,0.6909090909090909,332.28594430182045
11.0,17.0,2.3,2.75,0.6525252525252525,326.91209664923053
11.0,17.0,2.75,3.2,0.5853535353535353,299.24532402977206
11.0,17.0,3.2,3.65,0.4797979797979798,250.7466102385993
11.0,17.0,3.65,4.1,0.3646464646464646,190.8712651383697
11.0,17.0,4.1,4.55,0.28787878787878785,135.48829562482842
11.0,17.0,4.55,5.0,0.21111111111111108,91.71935549324299
17.0,23.0,0.5,0.95,0.8540404040404039,209.62426451980244
17.0,23.0,0.95,1.4,0.7964646464646464,310.32132660906893
17.0,23.0,1.4,1.85,0.7388888888888888,312.88276066224216
17.0,23.0,1.85,2.3,0.6909090909090909,297.6304529063303
17.0,23.0,2.3,2.75,0.6717171717171717,282.78024287371517
17.0,23.0,2.75,3.2,0.5661616161616161,249.25485928186814
17.0,23.0,3.2,3.65,0.45101010101010097,192.5551190627376
17.0,23.0,3.65,4.1,0.33585858585858586,128.27740085788113
17.0,23.0,4.1,4.55,0.27828282828282824,75.26836725272804
17.0,23.0,4.55,5.0,0.21111111111111108,40.222602919676135
23.0,29.0,0.5,0.95,0.7964646464646464,214.32608345438823
23.0,29.0,0.95,1.4,0.6909090909090909,280.2002521187471
23.0,29.0,1.4,1.85,0.6813131313131313,252.77898750780366
23.0,29.0,1.85,2.3,0.6813131313131313,222.58323499259603
23.0,29.0,2.3,2.75,0.6429292929292929,206.97387544504147
23.0,29.0,2.75,3.2,0.5373737373737373,171.758375863766
23.0,29.0,3.2,3.65,0.43181818181818177,108.01679746911111
23.0,29.0,3.65,4.1,0.33585858585858586,49.4585663538228
23.0,29.0,4.1,4.55,0.30707070707070705,17.8361738140701
23.0,29.0,4.55,5.0,0.498989898989899,7.36327520755392
29.0,35.0,0.5,0.95,0.7964646464646464,189.55875741270393
29.0,35.0,0.95,1.4,0.5277777777777778,219.4302494442949
29.0,35.0,1.4,1.85,0.4797979797979798,176.29027502374026
29.0,35.0,1.85,2.3,0.4893939393939394,145.4220392221393
29.0,35.0,2.3,2.75,0.45101010101010097,125.21032209825273
29.0,35.0,2.75,3.2,0.5277777777777778,66.02754312836674
29.0,35.0,3.2,3.65,0.5277777777777778,15.443571483177271
29.0,35.0,3.65,4.1,0.498989898989899,5.547001962252292
29.0,35.0,4.1,4.55,0.5181818181818182,4.4
29.0,35.0,4.55,5.0,0.5949494949494949,2.846049894151541
