theta_low,theta_high,p_low,p_high,best_threshold,best_fom
5.0,11.0,0.5,0.95,0.8828282828282827,96.33661017181761
5.0,11.0,0.95,1.4,0.8828282828282827,206.45854603466617
5.0,11.0,1.4,1.85,0.8540404040404039,247.1286191855327
5.0,11.0,1.85,2.3,0.806060606060606,263.8956456491819
5.0,11.0,2.3,2.75,0.7676767676767676,266.35688627673204
5.0,11.0,2.75,3.2,0.7196969696969696,251.66851952159692
5.0,11.0,3.2,3.65,0.6333333333333333,220.1530642157342
5.0,11.0,3.65,4.1,0.5277777777777778,181.2298076650295
5.0,11.0,4.1,4.55,0.403030303030303,146.39626798711055
5.0,11.0,4.55,5.0,0.32626262626262625,113.99999764818274
11.0,17.0,0.5,0.95,0.9020202020202019,173.1334811797198
11.0,17.0,0.95,1.4,0.8828282828282827,294.7831174111563
11.0,17.0,1.4,1.85,0.8444444444444443,326.3329014981385
11.0,17.0,1.85,2.3,0.806060606060606,332.28594430182045
11.0,17.0,2.3,2.75,0.7676767676767676,326.91209664923053
11.0,17.0,2.75,3.2,0.7005050505050504,299.24532402977206
11.0,17.0,3.2,3.65,0.5949494949494949,250.7466102385993
11.0,17.0,3.65,4.1,0.4702020202020202,190.8712651383697
11.0,17.0,4.1,4.55,0.3646464646464646,135.48829562482842
11.0,17.0,4.55,5.0,0.26868686868686864,91.71935549324299
17.0,23.0,0.5,0.95,0.9020202020202019,209.62426451980244
17.0,23.0,0.95,1.4,0.8828282828282827,310.32132660906893
17.0,23.0,1.4,1.85,0.8348484848484848,312.88276066224216
17.0,23.0,1.85,2.3,0.806060606060606,297.6304529063303
17.0,23.0,2.3,2.75,0.7772727272727272,282.78024287371517
17.0,23.0,2.75,3.2,0.7005050505050504,249.25485928186814
17.0,23.0,3.2,3.65,0.5853535353535353,192.5551190627376
17.0,23.0,3.65,4.1,0.43181818181818177,128.27740085788113
17.0,23.0,4.1,4.55,0.355050505050505,75.26836725272804
17.0,23.0,4.55,5.0,0.28787878787878785,40.222602919676135
23.0,29.0,0.5,0.95,0.8732323232323231,214.32608345438823
23.0,29.0,0.95,1.4,0.806060606060606,280.2002521187471
23.0,29.0,1.4,1.85,0.7964646464646464,252.77898750780366
23.0,29.0,1.85,2.3,0.7868686868686868,222.58323499259603
23.0,29.0,2.3,2.75,0.758080808080808,206.97387544504147
23.0,29.0,2.75,3.2,0.6621212121212121,171.758375863766
23.0,29.0,3.2,3.65,0.5661616161616161,108.01679746911111
23.0,29.0,3.65,4.1,0.4606060606060606,49.4585663538228
23.0,29.0,4.1,4.55,0.3838383838383838,17.8361738140701
23.0,29.0,4.55,5.0,0.5565656565656565,7.36327520755392
29.0,35.0,0.5,0.95,0.8732323232323231,189.55875741270393
29.0,35.0,0.95,1.4,0.6909090909090909,219.4302494442949
29.0,35.0,1.4,1.85,0.6237373737373737,176.29027502374026
29.0,35.0,1.85,2.3,0.6045454545454545,145.4220392221393
29.0,35.0,2.3,2.75,0.5661616161616161,125.21032209825273
29.0,35.0,2.75,3.2,0.6333333333333333,66.02754312836674
29.0,35.0,3.2,3.65,0.6141414141414141,15.443571483177271
29.0,35.0,3.65,4.1,0.5085858585858586,5.547001962252292
29.0,35.0,4.1,4.55,0.5757575757575757,4.4
29.0,35.0,4.55,5.0,0.5949494949494949,2.846049894151541
