p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,5.0,15.0,0.01,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.02,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.03,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.04,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.05,233799,0.9999252981283786,0.3626758429641172,0.027632839353130108,266205
0.5,1.4,5.0,15.0,0.060000000000000005,233799,0.9981799907641322,0.2999995237573639,0.02886910225812374,239668
0.5,1.4,5.0,15.0,0.06999999999999999,233799,0.9946282563224947,0.2627628836918988,0.029048879855223628,224346
0.5,1.4,5.0,15.0,0.08,233799,0.9905807730964605,0.23163434085904824,0.026919433946339312,213266
0.5,1.4,5.0,15.0,0.09,233799,0.9867506044060522,0.2052019801438613,0.0257684070528179,204514
0.5,1.4,5.0,15.0,0.09999999999999999,233799,0.9838304403335778,0.1882658807313233,0.024609243422871765,198909
0.5,1.4,5.0,15.0,0.11,233799,0.9810257246081547,0.1754162647198169,0.02379350199049698,194675
0.5,1.4,5.0,15.0,0.12,233799,0.9790631027082825,0.16673024460165534,0.02333215231028949,191924
0.5,1.4,5.0,15.0,0.13,233799,0.9773245864232744,0.15982345626397493,0.022804806673240075,189653
0.5,1.4,5.0,15.0,0.14,233799,0.9758577133077989,0.15390729880590687,0.02228116993453608,187737
0.5,1.4,5.0,15.0,0.15000000000000002,233799,0.9744383777469916,0.1491713362388449,0.02185616195480481,186126
0.5,1.4,5.0,15.0,0.16,233799,0.9732159834840953,0.14506275950937814,0.021369649468465153,184748
0.5,1.4,5.0,15.0,0.17,233799,0.972319561024638,0.14165127934581906,0.020964166471494943,183599
0.5,1.4,5.0,15.0,0.18000000000000002,233799,0.9713823920897509,0.1387351802455458,0.020436780727748776,182563
0.5,1.4,5.0,15.0,0.19,233799,0.970472387471817,0.13609324370073028,0.020079724268551858,181626
0.5,1.4,5.0,15.0,0.2,233799,0.9696506668839812,0.13378752214322115,0.019749576913292113,180814
0.5,1.4,5.0,15.0,0.21000000000000002,233799,0.9688561106130986,0.13142530121215443,0.019407388475578248,179983
0.5,1.4,5.0,15.0,0.22,233799,0.9681294651345992,0.1293575180163674,0.019119722828179135,179239
0.5,1.4,5.0,15.0,0.23,233799,0.9672805802298101,0.12747788586410527,0.018882720993933556,178523
0.5,1.4,5.0,15.0,0.24000000000000002,233799,0.9666422187814088,0.12555750777132044,0.01855517070757051,177848
0.5,1.4,5.0,15.0,0.25,233799,0.9658884089859561,0.1240006898165827,0.018254971446628895,177212
0.5,1.4,5.0,15.0,0.26,233799,0.9651006437943118,0.12247216682000901,0.018118198598104384,176618
0.5,1.4,5.0,15.0,0.27,233799,0.964367207236574,0.12088626402198945,0.017916280866389078,176041
0.5,1.4,5.0,15.0,0.28,233799,0.9624453318121315,0.11846884952229299,0.01764467086342247,174897
0.5,1.4,5.0,15.0,0.29000000000000004,233799,0.9608494281911282,0.11635241729485314,0.017367301167404682,173890
0.5,1.4,5.0,15.0,0.3,233799,0.9593961372341292,0.1146255710910424,0.01718967579404746,173069
0.5,1.4,5.0,15.0,0.31,233799,0.9583095645559992,0.11292086801277376,0.016927415798147674,172324
0.5,1.4,5.0,15.0,0.32,233799,0.9575625458397848,0.11163543806151636,0.016712346304022716,171849
0.5,1.4,5.0,15.0,0.33,233799,0.9568834379159536,0.11034852885465336,0.016506695451760655,171385
0.5,1.4,5.0,15.0,0.34,233799,0.9561500013582158,0.1093828082005478,0.016256595650088333,170946
0.5,1.4,5.0,15.0,0.35000000000000003,233799,0.9554097737212398,0.10822768762677484,0.01605770922526538,170510
0.5,1.4,5.0,15.0,0.36000000000000004,233799,0.9547714122728383,0.10718799016961854,0.015886081158943122,170086
0.5,1.4,5.0,15.0,0.37,233799,0.9540108113981474,0.1059916632195246,0.01572412329316322,169612
0.5,1.4,5.0,15.0,0.38,233799,0.9532773748404096,0.10490741213079631,0.015471109166794755,169154
0.5,1.4,5.0,15.0,0.39,233799,0.9525846847581018,0.10378624276422556,0.015261067978427073,168730
0.5,1.4,5.0,15.0,0.4,233799,0.9518105017249341,0.10274893409984251,0.015044652671733046,168299
0.5,1.4,5.0,15.0,0.41000000000000003,233799,0.9510838562464347,0.10159923534355013,0.014879410065343126,167883
0.5,1.4,5.0,15.0,0.42000000000000004,233799,0.9503232553717437,0.10049430806512782,0.014713961543055059,167460
0.5,1.4,5.0,15.0,0.43,233799,0.9496373563686741,0.09943584327262422,0.014598409078666212,167073
0.5,1.4,5.0,15.0,0.44,233799,0.9488767554939831,0.09851412644442006,0.014346143461434615,166665
