variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
beta,1,2,5,15,8570,7350,1,1,8570,7350,8570,7350,1,1,0,0.123269,7.99086e-53,405.733,49,8.28027,1.17073e-57,0.372165,0.946874,True,0.00603976,0.239081,0.0849966,0.487641,CANDIDATE,ok
beta,1,2,15,25,12140,11870,1,1,12140,11870,12140,11870,1,1,0,0.105446,1.45619e-58,473.986,49,9.67317,6.70515e-71,0.346111,0.866028,True,0.00637909,0.218892,0.0746979,0.552345,CANDIDATE,ok
beta,1,2,25,35,5018,6294,1,1,5018,6294,5018,6294,1,1,0,0.106133,7.84367e-28,189.936,49,3.87624,1.77926e-18,0.27019,0.679675,True,0.00518033,0.162201,0.0574848,0.421728,CANDIDATE,ok
beta,2,3,5,15,10513,10099,1,1,10513,10099,10513,10099,1,1,0,0.0540595,1.59284e-13,249.626,49,5.09442,1.111e-28,0.20314,0.714978,True,0.000815833,0.0908696,0.0525854,0.525083,CANDIDATE,ok
beta,2,3,15,25,10317,10776,1,1,10317,10776,10317,10776,1,1,0,0.0479387,5.76323e-11,165.201,49,3.37145,1.65354e-14,0.202754,0.68412,False,0.000637209,0.0639416,0.0234495,0.32564,CANDIDATE,ok
beta,2,3,25,35,2779,3169,1,1,2779,3169,2779,3169,1,1,0,0.0559919,0.000176253,78.2381,49,1.5967,0.00499202,0.502187,4.25459,True,0.00119325,0.110426,0.0277721,0.427926,CANDIDATE,ok
beta,3,5,5,15,15084,13859,1,1,15084,13859,15084,13859,1,1,0,0.0428534,5.79366e-12,228.038,49,4.65385,6.60305e-25,0.210784,0.555969,False,0.000443334,0.0878837,0.0290661,0.555887,CANDIDATE,ok
beta,3,5,15,25,7354,8681,1,1,7354,8681,7354,8681,1,1,0,0.0757295,2.64341e-20,252.592,49,5.15493,3.32041e-29,0.258068,1.44495,True,0.000745655,0.134308,0.0601384,1.17244,CANDIDATE,ok
beta,3,5,25,35,515,694,1,1,515,694,515,694,1,1,0,0.128592,9.95466e-05,67.4581,49,1.3767,0.0412037,0.460418,2.4101,True,0.000924853,0.144587,0.135072,1.68289,CANDIDATE,ok
chi2pid,1,2,5,15,8470,6884,0.99217,0.973374,8570,7350,8470,6884,0.988331,0.936599,-0.0517327,0.130241,1.39302e-56,678.562,49,13.8482,1.1245e-111,0.47387,0.927975,True,1.00885,0.594972,0.162866,0.668507,CANDIDATE,ok
chi2pid,1,2,15,25,11949,11323,0.99217,0.973374,12140,11870,11949,11323,0.984267,0.953917,-0.0303494,0.11367,6.79384e-66,774.099,49,15.7979,4.42398e-131,0.452716,0.862884,True,1.04558,0.588181,0.140977,0.68129,CANDIDATE,ok
chi2pid,1,2,25,35,4981,6030,0.99217,0.973374,5018,6294,4981,6030,0.992627,0.958055,-0.0345713,0.0455543,2.32091e-05,108.565,49,2.21562,2.11971e-06,0.285307,0.843984,False,0.394594,0.206776,0.0325397,0.483423,CANDIDATE,ok
chi2pid,2,3,5,15,10423,9908,0.99217,0.973374,10513,10099,10423,9908,0.991439,0.981087,-0.0103519,0.0631835,4.53077e-18,328.474,49,6.70355,5.04149e-43,0.233499,0.589566,True,0.218189,0.143725,0.0607638,0.401833,CANDIDATE,ok
chi2pid,2,3,15,25,10239,10325,0.99217,0.973374,10317,10776,10239,10325,0.99244,0.958148,-0.0342919,0.0441881,3.67872e-09,166.419,49,3.39631,1.06571e-14,0.204051,0.528473,False,0.131931,0.0815674,0.0247892,0.30436,CANDIDATE,ok
chi2pid,2,3,25,35,2759,3045,0.99217,0.973374,2779,3169,2759,3045,0.992803,0.960871,-0.0319322,0.0445339,0.0061636,58.574,49,1.19539,0.164324,0.213248,1.10836,False,0.0632558,0.0405916,0.0303907,0.427269,CANDIDATE,ok
chi2pid,3,5,5,15,15038,13804,0.99217,0.973374,15084,13859,15038,13804,0.99695,0.996031,-0.000918951,0.0424536,1.04215e-11,187.21,49,3.82061,4.97332e-18,0.177806,0.78324,False,0.075583,0.0637506,0.0180215,0.33026,CANDIDATE,ok
chi2pid,3,5,15,25,7315,8564,0.99217,0.973374,7354,8681,7315,8564,0.994697,0.986522,-0.00817447,0.0353324,0.000102091,91.7128,49,1.87169,0.000209952,0.170305,0.732997,False,0.0749097,0.060161,0.0176589,0.305754,CANDIDATE,ok
chi2pid,3,5,25,35,512,678,0.99217,0.973374,515,694,512,678,0.994175,0.976945,-0.0172295,0.0589625,0.249659,54.8849,49,1.1201,0.261421,0.443878,2.80665,True,0.0863964,0.0679186,0.0959938,1.0767,CANDIDATE,ok
ftof_energy_1A,1,2,5,15,7931,6401,0.851335,0.800577,8570,7350,7931,6401,0.925438,0.870884,-0.0545532,0.0534271,3.12509e-09,96.291,49,1.96512,6.40809e-05,0.309641,2.2694,True,1.26887,0.30342,0.0307445,0.381568,CANDIDATE,ok
ftof_energy_1A,1,2,15,25,10797,9935,0.851335,0.800577,12140,11870,10797,9935,0.889374,0.836984,-0.05239,0.0540717,1.3734e-13,244.087,49,4.98136,1.05164e-27,0.277254,2.22554,True,0.998606,0.233784,0.0409298,0.474541,CANDIDATE,ok
ftof_energy_1A,1,2,25,35,3155,3334,0.851335,0.800577,5018,6294,3155,3334,0.628737,0.529711,-0.0990257,0.132479,2.93512e-25,149.52,49,3.05143,4.19963e-12,0.399458,1.79144,True,1.14969,0.247472,0.118462,0.955114,DROP,ok
ftof_energy_1A,2,3,5,15,9567,8980,0.851335,0.800577,10513,10099,9567,8980,0.910016,0.889197,-0.0208192,0.0887947,3.18612e-32,219.689,49,4.48345,1.80436e-23,0.476687,4.27649,True,1.47996,0.287921,0.060337,0.411103,CANDIDATE,ok
ftof_energy_1A,2,3,15,25,9636,9534,0.851335,0.800577,10317,10776,9636,9534,0.933992,0.884744,-0.0492486,0.0931524,1.23419e-36,262.909,49,5.36548,4.84926e-31,0.424268,2.51569,True,1.47743,0.308524,0.0688826,0.459883,CANDIDATE,ok
ftof_energy_1A,2,3,25,35,2158,2183,0.851335,0.800577,2779,3169,2158,2183,0.776538,0.688861,-0.0876775,0.171044,3.33933e-28,217.984,48,4.54132,1.63932e-23,0.657479,2.41384,True,2.53825,0.441264,0.172474,0.871651,DROP,ok
ftof_energy_1A,3,5,5,15,14022,12631,0.851335,0.800577,15084,13859,14022,12631,0.929594,0.911393,-0.018201,0.0897037,5.61166e-47,327.349,49,6.68059,8.1673e-43,0.523061,3.78031,True,2.09653,0.380098,0.0565695,0.52766,CANDIDATE,ok
