variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
beta,1,2,5,15,4820,4342,1,1,4820,4342,4820,4342,1,1,0,0.128921,1.53345e-33,274.275,49,5.59746,4.42134e-33,0.385666,1,True,0.00625297,0.246117,0.0984417,0.594275,CANDIDATE,ok
beta,1,2,15,25,6981,7240,1,1,6981,7240,6981,7240,1,1,0,0.116237,2.84115e-42,317.09,49,6.47122,6.56449e-41,0.369862,0.926075,True,0.00673472,0.230534,0.0832167,0.535966,CANDIDATE,ok
beta,1,2,25,35,2745,3347,1,1,2745,3347,2745,3347,1,1,0,0.116928,2.03534e-18,126.688,49,2.58547,8.41831e-09,0.415745,5.59212,True,0.00554841,0.169891,0.0640084,0.474743,CANDIDATE,ok
beta,2,3,5,15,5552,5700,1,1,5552,5700,5552,5700,1,1,0,0.0591636,5.26864e-09,163.098,49,3.32853,3.51938e-14,0.226307,0.820684,True,0.000915167,0.102441,0.064691,0.564313,CANDIDATE,ok
beta,2,3,15,25,4940,6039,1,1,4940,6039,4940,6039,1,1,0,0.052993,4.47116e-07,124.621,49,2.54328,1.62241e-08,0.259877,1.83948,True,0.000713537,0.0723034,0.0359267,0.373994,CANDIDATE,ok
beta,2,3,25,35,606,960,1,1,606,960,606,960,1,1,0,0.036087,0.700759,42.3774,49,0.864845,0.736813,0.377159,1.91667,False,0.000396354,0.0361319,0.0521206,0.486192,CANDIDATE,ok
beta,3,5,5,15,7704,6361,1,1,7704,6361,7704,6361,1,1,0,0.0280488,0.00811514,128.22,49,2.61673,5.15712e-09,0.235538,1.26675,False,0.000223709,0.0445289,0.0285993,0.50427,CANDIDATE,ok
beta,3,5,15,25,2573,3044,1,1,2573,3044,2573,3044,1,1,0,0.0303119,0.150132,73.4523,49,1.49903,0.0134304,0.241088,1.12437,False,0.000249792,0.0455614,0.0416542,0.764848,CANDIDATE,ok
beta,3,5,25,35,20,48,1,1,20,48,20,48,1,1,0,0.204167,0.529117,39.3691,31,1.26997,0.143895,0.663561,1,True,0.00173087,0.217726,5.04067,83333.3,DROP,ok
chi2pid,1,2,5,15,4762,4054,0.991214,0.968688,4820,4342,4762,4054,0.987967,0.933671,-0.0542957,0.128163,8.45075e-32,410.342,49,8.37433,1.52133e-58,0.469761,1,True,1.07525,0.650323,0.167427,0.65553,CANDIDATE,ok
