variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
beta,1,2,5,15,9585,9952,1,1,9585,9952,9585,9952,1,1,0,0.110174,4.75059e-52,446.593,49,9.11413,1.47939e-65,0.37387,0.794206,True,0.00586577,0.228041,0.0836233,0.586934,CANDIDATE,ok
beta,1,2,15,25,13926,15954,1,1,13926,15954,13926,15954,1,1,0,0.105727,7.82223e-73,595.478,49,12.1526,5.80667e-95,0.362157,0.927591,True,0.00593804,0.209557,0.0709303,0.525685,CANDIDATE,ok
beta,1,2,25,35,5336,7162,1,1,5336,7162,5336,7162,1,1,0,0.0942866,4.17513e-24,184.706,49,3.76952,1.27275e-17,0.265708,0.874589,True,0.00479561,0.145288,0.051234,0.42078,CANDIDATE,ok
beta,2,3,5,15,10927,12503,1,1,10927,12503,10927,12503,1,1,0,0.0586219,7.3494e-18,347.568,49,7.09322,1.34624e-46,0.257401,0.714182,True,0.00107455,0.120314,0.070394,0.535036,CANDIDATE,ok
beta,2,3,15,25,9727,13713,1,1,9727,13713,9727,13713,1,1,0,0.0594039,6.71944e-18,322.211,49,6.57573,7.37006e-42,0.259314,0.66512,True,0.00103729,0.107173,0.0531543,0.400144,CANDIDATE,ok
beta,2,3,25,35,1166,2124,1,1,1166,2124,1166,2124,1,1,0,0.0457105,0.0827811,60.8176,49,1.24118,0.119891,0.306051,1.16738,False,0.00098592,0.0908063,0.0569377,0.495719,CANDIDATE,ok
beta,3,5,5,15,15732,14867,1,1,15732,14867,15732,14867,1,1,0,0.0343625,2.81481e-08,207.811,49,4.24105,1.88307e-21,0.202476,0.791808,False,0.000258786,0.0511885,0.0232128,0.302196,CANDIDATE,ok
beta,3,5,15,25,5114,7182,1,1,5114,7182,5114,7182,1,1,0,0.0366656,0.000629291,120.588,49,2.46097,5.73337e-08,0.209277,1.20426,False,0.000210404,0.0379442,0.0272051,0.47752,CANDIDATE,ok
beta,3,5,25,35,59,139,1,1,59,139,59,139,1,1,0,0.20278,0.0556628,49.6354,45,1.10301,0.293723,0.641893,2.05926,True,0.00133411,0.215369,0.467041,2.82014,DROP,ok
chi2pid,1,2,5,15,9457,9189,0.990641,0.970646,9585,9952,9457,9189,0.986646,0.923332,-0.0633138,0.138511,2.15903e-78,1063.26,49,21.6992,1.22113e-190,0.552562,0.92432,True,1.23383,0.757128,0.231121,0.750256,CANDIDATE,ok
chi2pid,1,2,15,25,13703,15157,0.990641,0.970646,13926,15954,13703,15157,0.983987,0.950044,-0.0339429,0.12883,1.34285e-104,1492.62,49,30.4617,2.03214e-280,0.540625,0.890695,True,1.1921,0.715983,0.22211,0.706115,CANDIDATE,ok
chi2pid,1,2,25,35,5281,7068,0.990641,0.970646,5336,7162,5281,7068,0.989693,0.986875,-0.00281748,0.0590703,1.29815e-09,203.001,49,4.14288,1.21148e-20,0.353332,1.12793,True,0.4731,0.257366,0.0518299,0.512541,CANDIDATE,ok
chi2pid,2,3,5,15,10825,12233,0.990641,0.970646,10927,12503,10825,12233,0.990665,0.978405,-0.0122601,0.081574,1.08546e-33,586.47,49,11.9688,3.67338e-93,0.330866,0.679308,True,0.315897,0.215281,0.103022,0.555987,CANDIDATE,ok
chi2pid,2,3,15,25,9619,13148,0.990641,0.970646,9727,13713,9619,13148,0.988897,0.958798,-0.0300987,0.0604115,4.57901e-18,441.176,49,9.0036,1.66831e-64,0.298485,0.721468,True,0.26808,0.170381,0.0721231,0.48855,CANDIDATE,ok
chi2pid,2,3,25,35,1151,2092,0.990641,0.970646,1166,2124,1151,2092,0.987136,0.984934,-0.00220142,0.0591185,0.0105833,69.0791,49,1.40978,0.030853,0.31106,0.818506,True,0.191798,0.106732,0.0743409,0.735218,CANDIDATE,ok
chi2pid,3,5,5,15,15665,14817,0.990641,0.970646,15732,14867,15665,14817,0.995741,0.996637,0.000895682,0.0420032,4.12313e-12,193.365,49,3.94623,4.84994e-19,0.174239,0.578236,False,0.0822004,0.0668186,0.0216671,0.32076,CANDIDATE,ok
chi2pid,3,5,15,25,5094,7076,0.990641,0.970646,5114,7182,5094,7076,0.996089,0.985241,-0.0108483,0.0214242,0.129448,74.6131,49,1.52272,0.010642,0.195559,1.68278,False,0.0479487,0.0372288,0.0129067,0.254958,KEEP,ok
chi2pid,3,5,25,35,58,139,0.990641,0.970646,59,139,58,139,0.983051,1,0.0169492,0.175019,0.140327,50.0741,42,1.19224,0.183577,0.553386,1.14815,True,0.301865,0.195561,0.463856,2.7554,DROP,ok
ftof_energy_1A,1,2,5,15,8829,8478,0.847839,0.798598,9585,9952,8829,8478,0.921127,0.851889,-0.0692377,0.0928671,6.61789e-33,273.772,49,5.58717,5.44961e-33,0.343077,0.813645,True,3.29451,0.972484,0.0626698,0.413507,CANDIDATE,ok
ftof_energy_1A,1,2,15,25,12324,13296,0.847839,0.798598,13926,15954,12324,13296,0.884963,0.833396,-0.0515674,0.0558281,9.08268e-18,300.073,49,6.12393,8.9882e-38,0.262464,0.657467,True,1.58445,0.410132,0.0466515,0.501229,CANDIDATE,ok
ftof_energy_1A,1,2,25,35,3370,3936,0.847839,0.798598,5336,7162,3370,3936,0.631559,0.549567,-0.0819921,0.132975,1.93465e-28,217.612,49,4.44107,4.08693e-23,0.433061,3.20288,True,1.39827,0.34288,0.116432,0.755208,CANDIDATE,ok
ftof_energy_1A,2,3,5,15,9981,11042,0.847839,0.798598,10927,12503,9981,11042,0.913425,0.883148,-0.0302774,0.0497946,9.80266e-12,265.891,49,5.42634,1.41973e-31,0.303331,1.68984,False,1.17367,0.301362,0.0547323,0.46155,CANDIDATE,ok
ftof_energy_1A,2,3,15,25,9006,12048,0.847839,0.798598,9727,13713,9006,12048,0.925876,0.878582,-0.0472941,0.0818061,1.88236e-30,354.337,49,7.23137,7.1573e-48,0.318253,1.21625,True,1.05227,0.256625,0.0882584,0.616238,CANDIDATE,ok
ftof_energy_1A,2,3,25,35,956,1559,0.847839,0.798598,1166,2124,956,1559,0.819897,0.733992,-0.0859046,0.0932801,6.0654e-05,80.735,47,1.71777,0.00160131,0.410191,1.12329,True,1.51193,0.30548,0.0945052,1.24845,DROP,ok
ftof_energy_1A,3,5,5,15,14542,13472,0.847839,0.798598,15732,14867,14542,13472,0.924358,0.906168,-0.01819,0.0684516,6.19016e-29,225.025,49,4.59235,2.18689e-24,0.272942,1.1462,True,0.596746,0.135963,0.0421731,0.35037,CANDIDATE,ok
ftof_energy_1A,3,5,15,25,4847,6564,0.847839,0.798598,5114,7182,4847,6564,0.94779,0.913952,-0.0338388,0.0912588,1.17868e-20,118.735,49,2.42316,1.01554e-07,0.649172,4.87651,True,1.37886,0.297143,0.0592306,0.457614,CANDIDATE,ok
ftof_energy_1A,3,5,25,35,52,117,0.847839,0.798598,59,139,52,117,0.881356,0.841727,-0.0396293,0.168803,0.229424,33.5271,28,1.1974,0.216878,0.736331,1.32632,True,1.8924,0.617897,1.30383,68376.1,DROP,ok
ftof_energy_1B,1,2,5,15,9053,8951,0.906102,0.892377,9585,9952,9053,8951,0.944497,0.899417,-0.0450794,0.068774,5.86135e-19,180.219,49,3.67794,6.78788e-17,0.277109,0.988471,True,1.7964,0.578459,0.0403403,0.411649,CANDIDATE,ok
ftof_energy_1B,1,2,15,25,13027,14636,0.906102,0.892377,13926,15954,13027,14636,0.935444,0.917387,-0.018057,0.112836,6.85717e-77,416.188,49,8.49364,1.13852e-59,0.292228,0.925038,True,1.05785,0.312952,0.0773469,0.490903,CANDIDATE,ok
