thetaLow,thetaHigh,pLow,pHigh,best_threshold,best_fom
5.0,11.0,0.5,0.95,0.498989898989899,96.31080026469586
5.0,11.0,0.95,1.4,0.5373737373737373,205.56152414679877
5.0,11.0,1.4,1.85,0.4702020202020202,246.68701018569624
5.0,11.0,1.85,2.3,0.3646464646464646,264.087832945722
5.0,11.0,2.3,2.75,0.4126262626262626,266.12635871007006
5.0,11.0,2.75,3.2,0.3742424242424242,251.77344628201237
5.0,11.0,3.2,3.65,0.355050505050505,220.25555481183318
5.0,11.0,3.65,4.1,0.2494949494949495,181.35083873410693
5.0,11.0,4.1,4.55,0.22070707070707068,146.29503396736968
5.0,11.0,4.55,5.0,0.21111111111111108,113.80779650029069
11.0,17.0,0.5,0.95,0.5565656565656565,172.64201581465286
11.0,17.0,0.95,1.4,0.5565656565656565,293.960725696117
11.0,17.0,1.4,1.85,0.4702020202020202,325.6837741336274
11.0,17.0,1.85,2.3,0.42222222222222217,332.20685991874666
11.0,17.0,2.3,2.75,0.43181818181818177,326.582823182906
11.0,17.0,2.75,3.2,0.3742424242424242,299.49657121081464
11.0,17.0,3.2,3.65,0.30707070707070705,250.97818884247485
11.0,17.0,3.65,4.1,0.2494949494949495,191.1094096625747
11.0,17.0,4.1,4.55,0.22070707070707068,135.40938702302026
11.0,17.0,4.55,5.0,0.16313131313131313,91.61074296067275
17.0,23.0,0.5,0.95,0.4702020202020202,209.400802948746
17.0,23.0,0.95,1.4,0.5469696969696969,309.6274901309903
17.0,23.0,1.4,1.85,0.5277777777777778,312.4526776330296
17.0,23.0,1.85,2.3,0.44141414141414137,297.3888477771962
17.0,23.0,2.3,2.75,0.42222222222222217,282.5597385980983
17.0,23.0,2.75,3.2,0.34545454545454546,249.32937299857468
17.0,23.0,3.2,3.65,0.30707070707070705,192.78770697676933
17.0,23.0,3.65,4.1,0.22070707070707068,128.36619407279213
17.0,23.0,4.1,4.55,0.17272727272727273,75.24956821243777
17.0,23.0,4.55,5.0,0.17272727272727273,40.21943347845236
23.0,29.0,0.5,0.95,0.26868686868686864,214.44568652152574
23.0,29.0,0.95,1.4,0.4702020202020202,279.6825532408833
23.0,29.0,1.4,1.85,0.4893939393939394,252.2463676537812
23.0,29.0,1.85,2.3,0.43181818181818177,222.3163230263808
23.0,29.0,2.3,2.75,0.355050505050505,206.53933158599443
23.0,29.0,2.75,3.2,0.34545454545454546,171.32205352550983
23.0,29.0,3.2,3.65,0.26868686868686864,107.80804881612542
23.0,29.0,3.65,4.1,0.2590909090909091,49.43586348482292
23.0,29.0,4.1,4.55,0.2494949494949495,17.80034504639309
23.0,29.0,4.55,5.0,0.44141414141414137,7.47104502472498
29.0,35.0,0.5,0.95,0.43181818181818177,189.72063914999947
29.0,35.0,0.95,1.4,0.1919191919191919,219.51074750349994
29.0,35.0,1.4,1.85,0.26868686868686864,176.4905933876148
29.0,35.0,1.85,2.3,0.28787878787878785,145.46003645476566
29.0,35.0,2.3,2.75,0.2303030303030303,125.04831778300276
29.0,35.0,2.75,3.2,0.355050505050505,66.0732011870631
29.0,35.0,3.2,3.65,0.4702020202020202,15.646994566017954
29.0,35.0,3.65,4.1,0.3646464646464646,5.563035899673184
29.0,35.0,4.1,4.55,0.4893939393939394,4.4
29.0,35.0,4.55,5.0,0.32626262626262625,3.015113445777636
