p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,5.0,15.0,0.01,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.02,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.03,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.04,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.05,233799,1.0,0.3701769468646145,0.027419139168288587,269228
0.5,1.4,5.0,15.0,0.060000000000000005,233799,0.9995517887702714,0.34142609131423046,0.02788358332719812,258073
0.5,1.4,5.0,15.0,0.06999999999999999,233799,0.9982818569527069,0.30752960684372677,0.028333884337998508,245007
0.5,1.4,5.0,15.0,0.08,233799,0.995830277347676,0.2776417617820777,0.028852450485066374,230587
0.5,1.4,5.0,15.0,0.09,233799,0.991504359872871,0.24454367645993522,0.026941969016966022,217022
0.5,1.4,5.0,15.0,0.09999999999999999,233799,0.984855893298563,0.20572013823849974,0.024537911245433346,202829
0.5,1.4,5.0,15.0,0.11,233799,0.9819628935430419,0.1898430627692894,0.02416755090697792,197910
0.5,1.4,5.0,15.0,0.12,233799,0.9797829571075435,0.1789868433032869,0.024120845797226592,194562
0.5,1.4,5.0,15.0,0.13,233799,0.9777931708907179,0.17022343374500776,0.02400262699761277,191854
0.5,1.4,5.0,15.0,0.14,233799,0.9762108494281911,0.16369083980568402,0.0237625953876639,189752
0.5,1.4,5.0,15.0,0.15000000000000002,233799,0.9748050960258604,0.15839772980452396,0.023679271865048354,188097
0.5,1.4,5.0,15.0,0.16,233799,0.9735962839214408,0.15379030687231066,0.02350111425387846,186672
0.5,1.4,5.0,15.0,0.17,233799,0.9722448591530166,0.14979600805278254,0.02322081620764426,185394
0.5,1.4,5.0,15.0,0.18000000000000002,233799,0.9709953005731671,0.14606600652181703,0.02286061645508475,184247
0.5,1.4,5.0,15.0,0.19,233799,0.9698815635780839,0.1431716872348978,0.0216429648076545,183108
0.5,1.4,5.0,15.0,0.2,233799,0.9688357373753836,0.14011813633897896,0.020346472618550354,181948
0.5,1.4,5.0,15.0,0.21000000000000002,233799,0.9678034933311602,0.13743659891779347,0.01931026859732508,180940
0.5,1.4,5.0,15.0,0.22,233799,0.9667848314454133,0.13524595142930035,0.018203836304349033,180017
0.5,1.4,5.0,15.0,0.23,233799,0.9658137071143346,0.1327218841092315,0.016798176006437623,178948
0.5,1.4,5.0,15.0,0.24000000000000002,233799,0.9648833292586858,0.13058297281255163,0.015513153311083392,177978
0.5,1.4,5.0,15.0,0.25,233799,0.9637899655013175,0.12814306513739487,0.0147412364311048,176783
0.5,1.4,5.0,15.0,0.26,233799,0.962649064189281,0.12606119643154398,0.01402225357240375,175792
0.5,1.4,5.0,15.0,0.27,233799,0.9617322684921088,0.12415580238972862,0.013393214257145142,175014
0.5,1.4,5.0,15.0,0.28,233799,0.9605438296254041,0.12213257199602781,0.012816609314590024,174071
0.5,1.4,5.0,15.0,0.29000000000000004,233799,0.9583978485860973,0.11934952449891421,0.01234739419620374,172749
0.5,1.4,5.0,15.0,0.3,233799,0.9562994051014587,0.11667513502324094,0.012016862088869972,171509
0.5,1.4,5.0,15.0,0.31,233799,0.9555184309890528,0.11529320036720783,0.011771792142781956,171002
0.5,1.4,5.0,15.0,0.32,233799,0.9547646211936001,0.11406930362397838,0.011528780882758459,170443
0.5,1.4,5.0,15.0,0.33,233799,0.9538410344171896,0.11276262428461334,0.01139760397297997,169948
0.5,1.4,5.0,15.0,0.34,233799,0.9530940157009752,0.11147057333873582,0.011199952792612045,169465
0.5,1.4,5.0,15.0,0.35000000000000003,233799,0.9523334148262842,0.1104732665605237,0.011056293036132604,169044
0.5,1.4,5.0,15.0,0.36000000000000004,233799,0.9516271425854997,0.1092627671340851,0.010854414425101575,168595
0.5,1.4,5.0,15.0,0.37,233799,0.9507918398391872,0.1081909154027938,0.010669362752386334,168145
0.5,1.4,5.0,15.0,0.38,233799,0.9500855675984028,0.10703320971973115,0.010529579413062403,167718
0.5,1.4,5.0,15.0,0.39,233799,0.9491959362181838,0.10582041046112903,0.010402281327905017,167271
0.5,1.4,5.0,15.0,0.4,233799,0.9484421264227311,0.10486408880855783,0.01027696880355709,166878
0.5,1.4,5.0,15.0,0.41000000000000003,233799,0.9477901828158531,0.10383089113488383,0.010179996756815192,166503
0.5,1.4,5.0,15.0,0.42000000000000004,233799,0.9469888354657322,0.10291809268932864,0.010066831236076827,166090
0.5,1.4,5.0,15.0,0.43,233799,0.9463368918588542,0.10210314698832444,0.010003257997176402,165746
0.5,1.4,5.0,15.0,0.44,233799,0.9455491266672099,0.10133347102637252,0.009880574452003023,165375
