thetaLow,thetaHigh,pLow,pHigh,best_threshold,best_fom
5.0,11.0,0.5,0.95,0.8924242424242423,96.31080026469586
5.0,11.0,0.95,1.4,0.8924242424242423,205.56152414679877
5.0,11.0,1.4,1.85,0.8540404040404039,246.68701018569624
5.0,11.0,1.85,2.3,0.8252525252525252,264.087832945722
5.0,11.0,2.3,2.75,0.7772727272727272,266.12635871007006
5.0,11.0,2.75,3.2,0.6909090909090909,251.77344628201237
5.0,11.0,3.2,3.65,0.6045454545454545,220.25555481183318
5.0,11.0,3.65,4.1,0.5181818181818182,181.35083873410693
5.0,11.0,4.1,4.55,0.403030303030303,146.29503396736968
5.0,11.0,4.55,5.0,0.33585858585858586,113.80779650029069
11.0,17.0,0.5,0.95,0.9116161616161615,172.64201581465286
11.0,17.0,0.95,1.4,0.8924242424242423,293.960725696117
11.0,17.0,1.4,1.85,0.8540404040404039,325.6837741336274
11.0,17.0,1.85,2.3,0.8252525252525252,332.20685991874666
11.0,17.0,2.3,2.75,0.7772727272727272,326.582823182906
11.0,17.0,2.75,3.2,0.7005050505050504,299.49657121081464
11.0,17.0,3.2,3.65,0.6045454545454545,250.97818884247485
11.0,17.0,3.65,4.1,0.4893939393939394,191.1094096625747
11.0,17.0,4.1,4.55,0.3934343434343434,135.40938702302026
11.0,17.0,4.55,5.0,0.29747474747474745,91.61074296067275
17.0,23.0,0.5,0.95,0.9020202020202019,209.400802948746
17.0,23.0,0.95,1.4,0.8828282828282827,309.6274901309903
17.0,23.0,1.4,1.85,0.8444444444444443,312.4526776330296
17.0,23.0,1.85,2.3,0.8156565656565656,297.3888477771962
17.0,23.0,2.3,2.75,0.7868686868686868,282.5597385980983
17.0,23.0,2.75,3.2,0.7005050505050504,249.32937299857468
17.0,23.0,3.2,3.65,0.5949494949494949,192.78770697676933
17.0,23.0,3.65,4.1,0.4702020202020202,128.36619407279213
17.0,23.0,4.1,4.55,0.3934343434343434,75.24956821243777
17.0,23.0,4.55,5.0,0.29747474747474745,40.21943347845236
23.0,29.0,0.5,0.95,0.8732323232323231,214.44568652152574
23.0,29.0,0.95,1.4,0.8348484848484848,279.6825532408833
23.0,29.0,1.4,1.85,0.8156565656565656,252.2463676537812
23.0,29.0,1.85,2.3,0.806060606060606,222.3163230263808
23.0,29.0,2.3,2.75,0.7676767676767676,206.53933158599443
23.0,29.0,2.75,3.2,0.6717171717171717,171.32205352550983
23.0,29.0,3.2,3.65,0.5757575757575757,107.80804881612542
23.0,29.0,3.65,4.1,0.4797979797979798,49.43586348482292
23.0,29.0,4.1,4.55,0.4606060606060606,17.80034504639309
23.0,29.0,4.55,5.0,0.4702020202020202,7.47104502472498
29.0,35.0,0.5,0.95,0.8732323232323231,189.72063914999947
29.0,35.0,0.95,1.4,0.7292929292929292,219.51074750349994
29.0,35.0,1.4,1.85,0.6045454545454545,176.4905933876148
29.0,35.0,1.85,2.3,0.5853535353535353,145.46003645476566
29.0,35.0,2.3,2.75,0.5661616161616161,125.04831778300276
29.0,35.0,2.75,3.2,0.6141414141414141,66.0732011870631
29.0,35.0,3.2,3.65,0.5661616161616161,15.646994566017954
29.0,35.0,3.65,4.1,0.3742424242424242,5.563035899673184
29.0,35.0,4.1,4.55,0.5277777777777778,4.4
29.0,35.0,4.55,5.0,0.3742424242424242,3.015113445777636
