theta_low,theta_high,p_low,p_high,best_threshold,best_fom
5.0,11.0,0.5,0.77,0.8828282828282827,33.574186215236445
5.0,11.0,0.77,1.04,0.9020202020202019,120.05754924811423
5.0,11.0,1.04,1.31,0.8924242424242423,160.1167707531876
5.0,11.0,1.31,1.58,0.8732323232323231,182.2708439962363
5.0,11.0,1.58,1.85,0.8540404040404039,194.97856209746914
5.0,11.0,1.85,2.12,0.8348484848484848,202.98430298440448
5.0,11.0,2.12,2.39,0.806060606060606,207.1659368987547
5.0,11.0,2.39,2.66,0.7868686868686868,206.04905872190395
5.0,11.0,2.66,2.93,0.7196969696969696,202.0148300251321
5.0,11.0,2.93,3.2,0.6717171717171717,191.29496402969136
11.0,17.0,0.5,0.77,0.8924242424242423,93.01266246045958
11.0,17.0,0.77,1.04,0.9116161616161615,188.0278589612836
11.0,17.0,1.04,1.31,0.8924242424242423,229.0535508079077
11.0,17.0,1.31,1.58,0.8636363636363635,247.10543840038488
11.0,17.0,1.58,1.85,0.8444444444444443,254.57949786012682
11.0,17.0,1.85,2.12,0.8252525252525252,257.1362079383433
11.0,17.0,2.12,2.39,0.806060606060606,257.15657794667686
11.0,17.0,2.39,2.66,0.7772727272727272,253.5176627154619
11.0,17.0,2.66,2.93,0.7292929292929292,243.06569355338152
11.0,17.0,2.93,3.2,0.6813131313131313,226.256833958743
17.0,23.0,0.5,0.77,0.8924242424242423,127.76745811083252
17.0,23.0,0.77,1.04,0.9020202020202019,212.06891376874495
17.0,23.0,1.04,1.31,0.8924242424242423,241.17257880496757
17.0,23.0,1.31,1.58,0.8636363636363635,245.68697991784404
17.0,23.0,1.58,1.85,0.8444444444444443,239.91205227847684
17.0,23.0,1.85,2.12,0.8252525252525252,232.57153193090102
17.0,23.0,2.12,2.39,0.806060606060606,226.66476723300605
17.0,23.0,2.39,2.66,0.7868686868686868,218.59237245007137
17.0,23.0,2.66,2.93,0.7292929292929292,206.73041067256136
17.0,23.0,2.93,3.2,0.6813131313131313,185.68566353968146
23.0,29.0,0.5,0.77,0.8732323232323231,135.79665956850388
23.0,29.0,0.77,1.04,0.8636363636363635,207.97986935072197
23.0,29.0,1.04,1.31,0.8348484848484848,218.35341668293214
23.0,29.0,1.31,1.58,0.8252525252525252,206.61323775836397
23.0,29.0,1.58,1.85,0.8156565656565656,189.33623049349325
23.0,29.0,1.85,2.12,0.806060606060606,174.8514152900498
23.0,29.0,2.12,2.39,0.7964646464646464,167.54539607802684
23.0,29.0,2.39,2.66,0.7676767676767676,160.04357112360788
23.0,29.0,2.66,2.93,0.7196969696969696,148.00441637653185
23.0,29.0,2.93,3.2,0.6429292929292929,123.84654863429664
29.0,35.0,0.5,0.77,0.8828282828282827,130.46855764671025
29.0,35.0,0.77,1.04,0.8444444444444443,171.02857236831775
29.0,35.0,1.04,1.31,0.7292929292929292,171.3506321998114
29.0,35.0,1.31,1.58,0.6333333333333333,152.11997482821343
29.0,35.0,1.58,1.85,0.5949494949494949,128.70526930527268
29.0,35.0,1.85,2.12,0.5949494949494949,113.84709613308152
29.0,35.0,2.12,2.39,0.5565656565656565,109.73361009943574
29.0,35.0,2.39,2.66,0.5757575757575757,97.89401808380183
29.0,35.0,2.66,2.93,0.6045454545454545,71.27006759651114
29.0,35.0,2.93,3.2,0.5949494949494949,39.102023502191976
