p_low,p_high,theta_low,theta_high,best_threshold,C_base,C_plus,C_minus,delta_c_plus,delta_c_minus,delta_c_total,n_events
0.5,0.95,5.0,11.0,0.8540404040404039,0.05858350335179248,0.047172726336388915,0.06436346426881212,0.011410777015403564,0.005779960917019641,0.017190737932423206,15513
0.95,1.4,5.0,11.0,0.8156565656565656,0.07450005180810279,0.06219702216066482,0.08482520014482842,0.012303029647437971,0.010325148336725626,0.022628177984163597,84363
1.4,1.85,5.0,11.0,0.758080808080808,0.08113905116699122,0.07107102724632605,0.08920770110665509,0.010068023920665164,0.008068649939663872,0.018136673860329036,116329
1.85,2.3,5.0,11.0,0.71010101010101,0.09861501118461759,0.08965229348786956,0.1069771757283355,0.00896271769674803,0.00836216454371791,0.01732488224046594,129896
2.3,2.75,5.0,11.0,0.6429292929292929,0.12314667320181351,0.1149034554590301,0.13062764326639775,0.008243217742783415,0.007480970064584244,0.01572418780736766,138843
2.75,3.2,5.0,11.0,0.5469696969696969,0.15873161029252067,0.14944906838172703,0.16875110678236233,0.00928254191079364,0.010019496489841656,0.019302038400635296,145064
3.2,3.65,5.0,11.0,0.4797979797979798,0.22881203625253538,0.2136402869935804,0.24353123967751011,0.01517174925895498,0.014719203424974736,0.029890952683929717,139671
3.65,4.1,5.0,11.0,0.4126262626262626,0.302784222737819,0.28577484307491646,0.3229408497244022,0.017009379662902557,0.02015662698658316,0.03716600664948572,121930
4.1,4.55,5.0,11.0,0.3166666666666666,0.39800899277428836,0.37537537537537535,0.42320269181555376,0.02263361739891301,0.025193699041265394,0.0478273164401784,98541
4.55,5.0,5.0,11.0,0.2782828282828282,0.4735578571918513,0.4469849574885546,0.5040084137000437,0.026572899703296682,0.030450556508192395,0.057023456211489076,69957
0.5,0.95,11.0,17.0,0.8732323232323231,0.05963203796727172,0.041599284313388156,0.06726309805212291,0.018032753653883564,0.007631060084851191,0.025663813738734755,52370
0.95,1.4,11.0,17.0,0.8252525252525252,0.0726522973139731,0.05924339757316203,0.08189995108364696,0.013408899740811074,0.009247653769673861,0.022656553510484935,174717
1.4,1.85,11.0,17.0,0.758080808080808,0.08152775066692693,0.07103364574202684,0.08995581924757878,0.010494104924900091,0.008428068580651857,0.018922173505551948,206703
1.85,2.3,11.0,17.0,0.7196969696969696,0.10056211606131091,0.08991688809244269,0.10952108099482857,0.010645227968868215,0.008958964933517666,0.01960419290238588,212260
2.3,2.75,11.0,17.0,0.6525252525252525,0.12670453711450674,0.11804830830194958,0.13548903565199988,0.008656228812557162,0.008784498537493135,0.017440727350050297,215826
2.75,3.2,11.0,17.0,0.5565656565656565,0.16935888589172574,0.15810717337347927,0.18056480416490103,0.01125171251824647,0.011205918273175297,0.022457630791421768,212530
3.2,3.65,11.0,17.0,0.4702020202020202,0.23614757106161968,0.2223660035166051,0.250835521069467,0.013781567545014584,0.014687950007847311,0.028469517552861895,183043
3.65,4.1,11.0,17.0,0.3742424242424242,0.3273732906827074,0.31045618051013735,0.3464988890077116,0.016917110172570027,0.01912559832500421,0.03604270849757424,134750
4.1,4.55,11.0,17.0,0.307070707070707,0.42734588521105377,0.40634748970508716,0.4503158906743579,0.020998395505966605,0.022970005463304133,0.04396840096927074,87962
4.55,5.0,11.0,17.0,0.2398989898989899,0.5313385469794855,0.5077341272409552,0.5560755763563876,0.023604419738530225,0.024737029376902142,0.04834144911543237,50851
0.5,0.95,17.0,23.0,0.8540404040404039,0.05206976255515865,0.041770141172785644,0.057860755849817,0.010299621382373003,0.0057909932946583545,0.016090614677031358,75207
0.95,1.4,17.0,23.0,0.8156565656565656,0.07538603765640589,0.0625569418737353,0.08458300330179863,0.012829095782670594,0.00919696564539274,0.022026061428063334,193125
1.4,1.85,17.0,23.0,0.758080808080808,0.08122893394744737,0.06958148406264901,0.09072249942031724,0.011647449884798364,0.009493565472869864,0.021141015357668227,190546
1.85,2.3,17.0,23.0,0.71010101010101,0.10404072247153506,0.09173738190074852,0.11383558184835149,0.012303340570786539,0.009794859376816428,0.022098199947602967,170555
2.3,2.75,17.0,23.0,0.6621212121212121,0.12914320529072454,0.11983722676625196,0.13847623596847386,0.009305978524472583,0.009333030677749321,0.018639009202221904,159746
2.75,3.2,17.0,23.0,0.5565656565656565,0.17336955296557632,0.16220201523715902,0.18455481723961675,0.011167537728417304,0.01118526427404043,0.022352802002457733,141139
3.2,3.65,17.0,23.0,0.4510101010101009,0.2349232589423186,0.22148914518317503,0.24898344130243202,0.013434113759143579,0.014060182360113416,0.027494296119256995,97007
