thetaLow,thetaHigh,pLow,pHigh,best_threshold,best_fom
5.0,11.0,0.5,0.77,0.8924242424242423,33.563235802675706
5.0,11.0,0.77,1.04,0.9020202020202019,120.14725386270861
5.0,11.0,1.04,1.31,0.9020202020202019,160.2004990971661
5.0,11.0,1.31,1.58,0.8828282828282827,182.2817380242252
5.0,11.0,1.58,1.85,0.8636363636363635,194.97211444372147
5.0,11.0,1.85,2.12,0.8348484848484848,203.03590658885096
5.0,11.0,2.12,2.39,0.8156565656565656,207.21233882492467
5.0,11.0,2.39,2.66,0.7868686868686868,206.15723771661516
5.0,11.0,2.66,2.93,0.7388888888888888,201.91108235803182
5.0,11.0,2.93,3.2,0.6909090909090909,191.2342264453977
11.0,17.0,0.5,0.77,0.9020202020202019,93.0182299732954
11.0,17.0,0.77,1.04,0.9116161616161615,188.15846055742105
11.0,17.0,1.04,1.31,0.8924242424242423,229.0620901322278
11.0,17.0,1.31,1.58,0.8732323232323231,247.03748197316494
11.0,17.0,1.58,1.85,0.8540404040404039,254.70290299486786
11.0,17.0,1.85,2.12,0.8348484848484848,257.329326213957
11.0,17.0,2.12,2.39,0.8156565656565656,257.2905694219017
11.0,17.0,2.39,2.66,0.7868686868686868,253.531431840049
11.0,17.0,2.66,2.93,0.7388888888888888,243.11577617580028
11.0,17.0,2.93,3.2,0.6909090909090909,226.26537935583895
17.0,23.0,0.5,0.77,0.9020202020202019,127.83645880295799
17.0,23.0,0.77,1.04,0.9020202020202019,212.0971086637033
17.0,23.0,1.04,1.31,0.8924242424242423,241.10860386563496
17.0,23.0,1.31,1.58,0.8732323232323231,245.73477638472417
17.0,23.0,1.58,1.85,0.8540404040404039,239.92362871012656
17.0,23.0,1.85,2.12,0.8348484848484848,232.6308057466005
17.0,23.0,2.12,2.39,0.8156565656565656,226.80815597744248
17.0,23.0,2.39,2.66,0.7964646464646464,218.54989155428555
17.0,23.0,2.66,2.93,0.7388888888888888,206.7465667360473
17.0,23.0,2.93,3.2,0.6813131313131313,185.62546173556964
23.0,29.0,0.5,0.77,0.8828282828282827,135.8457461001103
23.0,29.0,0.77,1.04,0.8732323232323231,208.05459863046016
23.0,29.0,1.04,1.31,0.8348484848484848,218.4211698115706
23.0,29.0,1.31,1.58,0.8348484848484848,206.61152132011756
23.0,29.0,1.58,1.85,0.8252525252525252,189.33101595829606
23.0,29.0,1.85,2.12,0.8156565656565656,174.90575734036412
23.0,29.0,2.12,2.39,0.806060606060606,167.5979255193385
23.0,29.0,2.39,2.66,0.7772727272727272,160.0407512903055
23.0,29.0,2.66,2.93,0.7292929292929292,148.01400662704245
23.0,29.0,2.93,3.2,0.6333333333333333,123.99351645638309
29.0,35.0,0.5,0.77,0.8924242424242423,130.4632125364962
29.0,35.0,0.77,1.04,0.8444444444444443,171.09336820804165
29.0,35.0,1.04,1.31,0.7292929292929292,171.3682679225447
29.0,35.0,1.31,1.58,0.6429292929292929,152.08334627389777
29.0,35.0,1.58,1.85,0.5949494949494949,128.6496665677465
29.0,35.0,1.85,2.12,0.5949494949494949,113.4805924181981
29.0,35.0,2.12,2.39,0.5469696969696969,109.79861746051456
29.0,35.0,2.39,2.66,0.5757575757575757,97.89127551130336
29.0,35.0,2.66,2.93,0.5757575757575757,71.3316240423824
29.0,35.0,2.93,3.2,0.5853535353535353,39.09122503433362
