p_lo,p_hi,theta_lo,theta_hi,best_threshold,best_fom
0.5,0.77,5.0,11.0,0.355050505050505,33.563235802675706
0.77,1.04,5.0,11.0,0.5757575757575757,120.14725386270861
1.04,1.31,5.0,11.0,0.5661616161616161,160.2004990971661
1.31,1.58,5.0,11.0,0.5277777777777778,182.2817380242252
1.58,1.85,5.0,11.0,0.4797979797979798,194.97211444372147
1.85,2.12,5.0,11.0,0.42222222222222217,203.03590658885096
2.12,2.39,5.0,11.0,0.3646464646464646,207.21233882492467
2.39,2.66,5.0,11.0,0.3646464646464646,206.15723771661516
2.66,2.93,5.0,11.0,0.42222222222222217,201.91108235803182
2.93,3.2,5.0,11.0,0.33585858585858586,191.23173253202134
0.5,0.77,11.0,17.0,0.4606060606060606,93.0182299732954
0.77,1.04,11.0,17.0,0.5277777777777778,188.15846055742105
1.04,1.31,11.0,17.0,0.5757575757575757,229.0620901322278
1.31,1.58,11.0,17.0,0.5373737373737373,247.03748197316494
1.58,1.85,11.0,17.0,0.42222222222222217,254.70290299486786
1.85,2.12,11.0,17.0,0.4606060606060606,257.329326213957
2.12,2.39,11.0,17.0,0.3934343434343434,257.2905694219017
2.39,2.66,11.0,17.0,0.3646464646464646,253.531431840049
2.66,2.93,11.0,17.0,0.33585858585858586,243.11577617580028
2.93,3.2,11.0,17.0,0.31666666666666665,226.26537935583895
0.5,0.77,17.0,23.0,0.45101010101010097,127.83645880295799
0.77,1.04,17.0,23.0,0.5853535353535353,212.0971086637033
1.04,1.31,17.0,23.0,0.4702020202020202,241.10860386563496
1.31,1.58,17.0,23.0,0.5277777777777778,245.73477638472417
1.58,1.85,17.0,23.0,0.5469696969696969,239.92362871012656
1.85,2.12,17.0,23.0,0.42222222222222217,232.6308057466005
2.12,2.39,17.0,23.0,0.44141414141414137,226.80815597744248
2.39,2.66,17.0,23.0,0.4606060606060606,218.54989155428555
2.66,2.93,17.0,23.0,0.355050505050505,206.7465667360473
2.93,3.2,17.0,23.0,0.355050505050505,185.62546173556964
0.5,0.77,23.0,29.0,0.3742424242424242,135.8457461001103
0.77,1.04,23.0,29.0,0.2590909090909091,208.05459863046016
1.04,1.31,23.0,29.0,0.403030303030303,218.4211698115706
1.31,1.58,23.0,29.0,0.4797979797979798,206.61152132011756
1.58,1.85,23.0,29.0,0.44141414141414137,189.33101595829606
1.85,2.12,23.0,29.0,0.42222222222222217,174.90575734036412
2.12,2.39,23.0,29.0,0.43181818181818177,167.5979255193385
2.39,2.66,23.0,29.0,0.42222222222222217,160.0407512903055
2.66,2.93,23.0,29.0,0.4126262626262626,148.01400662704245
2.93,3.2,23.0,29.0,0.26868686868686864,123.99351645638309
0.5,0.77,29.0,35.0,0.3646464646464646,130.4632125364962
0.77,1.04,29.0,35.0,0.2398989898989899,171.09336820804165
1.04,1.31,29.0,35.0,0.21111111111111108,171.3682679225447
1.31,1.58,29.0,35.0,0.21111111111111108,152.08334627389777
1.58,1.85,29.0,35.0,0.27828282828282824,128.6496665677465
1.85,2.12,29.0,35.0,0.2590909090909091,113.4805924181981
2.12,2.39,29.0,35.0,0.2494949494949495,109.79861746051456
2.39,2.66,29.0,35.0,0.30707070707070705,97.89127551130336
2.66,2.93,29.0,35.0,0.2398989898989899,71.3316240423824
2.93,3.2,29.0,35.0,0.33585858585858586,39.09122503433362
