thetaLow,thetaHigh,pLow,pHigh,best_threshold,best_fom
5.0,11.0,0.5,0.77,0.355050505050505,33.563235802675706
5.0,11.0,0.77,1.04,0.5757575757575757,120.14725386270861
5.0,11.0,1.04,1.31,0.5661616161616161,160.2004990971661
5.0,11.0,1.31,1.58,0.5277777777777778,182.2817380242252
5.0,11.0,1.58,1.85,0.4797979797979798,194.97211444372147
5.0,11.0,1.85,2.12,0.42222222222222217,203.03590658885096
5.0,11.0,2.12,2.39,0.3646464646464646,207.21233882492467
5.0,11.0,2.39,2.66,0.3646464646464646,206.15723771661516
5.0,11.0,2.66,2.93,0.42222222222222217,201.91108235803182
5.0,11.0,2.93,3.2,0.33585858585858586,191.2342264453977
11.0,17.0,0.5,0.77,0.4606060606060606,93.0182299732954
11.0,17.0,0.77,1.04,0.5277777777777778,188.15846055742105
11.0,17.0,1.04,1.31,0.5757575757575757,229.0620901322278
11.0,17.0,1.31,1.58,0.5373737373737373,247.03748197316494
11.0,17.0,1.58,1.85,0.42222222222222217,254.70290299486786
11.0,17.0,1.85,2.12,0.4606060606060606,257.329326213957
11.0,17.0,2.12,2.39,0.3934343434343434,257.2905694219017
11.0,17.0,2.39,2.66,0.3646464646464646,253.531431840049
11.0,17.0,2.66,2.93,0.33585858585858586,243.11577617580028
11.0,17.0,2.93,3.2,0.31666666666666665,226.26537935583895
17.0,23.0,0.5,0.77,0.45101010101010097,127.83645880295799
17.0,23.0,0.77,1.04,0.5853535353535353,212.0971086637033
17.0,23.0,1.04,1.31,0.4702020202020202,241.10860386563496
17.0,23.0,1.31,1.58,0.5277777777777778,245.73477638472417
17.0,23.0,1.58,1.85,0.5469696969696969,239.92362871012656
17.0,23.0,1.85,2.12,0.42222222222222217,232.6308057466005
17.0,23.0,2.12,2.39,0.44141414141414137,226.80815597744248
17.0,23.0,2.39,2.66,0.4606060606060606,218.54989155428555
17.0,23.0,2.66,2.93,0.355050505050505,206.7465667360473
17.0,23.0,2.93,3.2,0.355050505050505,185.62546173556964
23.0,29.0,0.5,0.77,0.3742424242424242,135.8457461001103
23.0,29.0,0.77,1.04,0.2590909090909091,208.05459863046016
23.0,29.0,1.04,1.31,0.403030303030303,218.4211698115706
23.0,29.0,1.31,1.58,0.4797979797979798,206.61152132011756
23.0,29.0,1.58,1.85,0.44141414141414137,189.33101595829606
23.0,29.0,1.85,2.12,0.42222222222222217,174.90575734036412
23.0,29.0,2.12,2.39,0.43181818181818177,167.5979255193385
23.0,29.0,2.39,2.66,0.42222222222222217,160.0407512903055
23.0,29.0,2.66,2.93,0.4126262626262626,148.01400662704245
23.0,29.0,2.93,3.2,0.26868686868686864,123.99351645638309
29.0,35.0,0.5,0.77,0.3646464646464646,130.4632125364962
29.0,35.0,0.77,1.04,0.2398989898989899,171.09336820804165
29.0,35.0,1.04,1.31,0.21111111111111108,171.3682679225447
29.0,35.0,1.31,1.58,0.21111111111111108,152.08334627389777
29.0,35.0,1.58,1.85,0.27828282828282824,128.6496665677465
29.0,35.0,1.85,2.12,0.2590909090909091,113.4805924181981
29.0,35.0,2.12,2.39,0.2494949494949495,109.79861746051456
29.0,35.0,2.39,2.66,0.30707070707070705,97.89127551130336
29.0,35.0,2.66,2.93,0.2398989898989899,71.3316240423824
29.0,35.0,2.93,3.2,0.33585858585858586,39.09122503433362
