p_low,p_high,chi2pid_efficiency,bdt_threshold
3.0,3.2,0.33955065114429805,0.9112060301507539
3.2,3.4,0.28556546176955133,0.9112060301507539
3.4,3.6,0.2493064081123667,0.9062814070351759
3.6,3.8,0.22658653163598505,0.8915075376884423
3.8,4.0,0.21628084382243348,0.8816582914572865
4.0,4.2,0.2047333531952927,0.8619597989949749
4.2,4.4,0.19450097013865883,0.8422613065326634
4.4,4.6,0.1836734693877551,0.8225628140703518
4.6,4.8,0.16521051591223562,0.8028643216080402
4.8,5.0,0.1614852752880922,0.7782412060301508
