theta_low,theta_high,p_low,p_high,best_threshold,best_fom
5.0,11.0,3.0,3.2,0.6621212121212121,163.03104473289937
5.0,11.0,3.2,3.4,0.6237373737373737,153.79289970417437
5.0,11.0,3.4,3.6,0.5949494949494949,142.0554618176277
5.0,11.0,3.6,3.8,0.5469696969696969,131.6730622084839
5.0,11.0,3.8,4.0,0.5085858585858586,119.26380821359743
5.0,11.0,4.0,4.2,0.45101010101010097,108.44753834377032
5.0,11.0,4.2,4.4,0.42222222222222217,98.2500572034579
5.0,11.0,4.4,4.6,0.3742424242424242,88.84068306186838
5.0,11.0,4.6,4.8,0.33585858585858586,78.58029815565882
5.0,11.0,4.8,5.0,0.31666666666666665,70.66271856126059
11.0,17.0,3.0,3.2,0.6813131313131313,192.27857617555733
11.0,17.0,3.2,3.4,0.6333333333333333,178.00318378085336
11.0,17.0,3.4,3.6,0.5757575757575757,160.69690728195266
11.0,17.0,3.6,3.8,0.5277777777777778,142.1494263913328
11.0,17.0,3.8,4.0,0.4797979797979798,125.31193150718858
11.0,17.0,4.0,4.2,0.45101010101010097,107.53456261918608
11.0,17.0,4.2,4.4,0.3838383838383838,91.22774720497232
11.0,17.0,4.4,4.6,0.355050505050505,77.1087639578525
11.0,17.0,4.6,4.8,0.30707070707070705,64.12900587026694
11.0,17.0,4.8,5.0,0.28787878787878785,55.07648277140437
17.0,23.0,3.0,3.2,0.6717171717171717,157.04872504653892
17.0,23.0,3.2,3.4,0.6333333333333333,139.8653261633129
17.0,23.0,3.4,3.6,0.5565656565656565,120.8897918985719
17.0,23.0,3.6,3.8,0.498989898989899,101.30182593424172
17.0,23.0,3.8,4.0,0.42222222222222217,83.31498388571295
17.0,23.0,4.0,4.2,0.4126262626262626,64.73521175744771
17.0,23.0,4.2,4.4,0.3934343434343434,50.73621156791759
17.0,23.0,4.4,4.6,0.32626262626262625,39.35550345080426
17.0,23.0,4.6,4.8,0.3742424242424242,28.790600521942867
17.0,23.0,4.8,5.0,0.2398989898989899,21.91407964739685
23.0,29.0,3.0,3.2,0.6429292929292929,103.15477429532427
23.0,29.0,3.2,3.4,0.5853535353535353,83.76883010789685
23.0,29.0,3.4,3.6,0.5373737373737373,63.33646026200604
23.0,29.0,3.6,3.8,0.5373737373737373,44.21237848256357
23.0,29.0,3.8,4.0,0.44141414141414137,29.95651880708078
23.0,29.0,4.0,4.2,0.3934343434343434,19.490373377077212
23.0,29.0,4.2,4.4,0.4126262626262626,10.81241011802579
23.0,29.0,4.4,4.6,0.5181818181818182,7.283723744002607
23.0,29.0,4.6,4.8,0.4702020202020202,5.505977612893481
23.0,29.0,4.8,5.0,0.16313131313131313,4.298926520745526
29.0,35.0,3.0,3.2,0.6333333333333333,29.429052972844786
29.0,35.0,3.2,3.4,0.5661616161616161,14.43057576696328
29.0,35.0,3.4,3.6,0.5661616161616161,5.794287746721186
29.0,35.0,3.6,3.8,0.45101010101010097,4.718142596956708
29.0,35.0,3.8,4.0,0.3742424242424242,4.024922359499621
29.0,35.0,4.0,4.2,0.33585858585858586,2.9398736610366685
29.0,35.0,4.2,4.4,0.5277777777777778,3.3565855667130946
29.0,35.0,4.4,4.6,0.1823232323232323,2.5298221281347035
29.0,35.0,4.6,4.8,0.10555555555555554,2.1213203435596424
29.0,35.0,4.8,5.0,0.3742424242424242,1.7320508075688774
