theta_low,theta_high,p_low,p_high,best_threshold,best_fom
0.0,7.0,1.85,2.3,0.9116161616161615,1.414213562373095
0.0,7.0,2.3,2.75,0.8924242424242423,4.123105625617661
0.0,7.0,2.75,3.2,0.7292929292929292,5.677749739576689
0.0,7.0,3.2,3.65,0.71010101010101,4.564354645876384
0.0,7.0,3.65,4.1,0.6909090909090909,3.162277660168379
0.0,7.0,4.1,4.55,0.28787878787878785,2.7958529813153215
0.0,7.0,4.55,5.0,0.1919191919191919,2.309401076758503
7.0,14.0,1.85,2.3,0.8924242424242423,2.6666666666666665
7.0,14.0,2.3,2.75,0.8732323232323231,5.813776741499453
7.0,14.0,2.75,3.2,0.7676767676767676,8.907784452556708
7.0,14.0,3.2,3.65,0.71010101010101,9.940886733600747
7.0,14.0,3.65,4.1,0.6525252525252525,8.441580063744153
7.0,14.0,4.1,4.55,0.5853535353535353,6.928853368993243
7.0,14.0,4.55,5.0,0.5469696969696969,4.576923076923077
14.0,21.0,2.3,2.75,0.9308080808080808,1.0
14.0,21.0,3.2,3.65,0.5373737373737373,2.2677868380553634
14.0,21.0,3.65,4.1,0.5565656565656565,1.0
14.0,21.0,4.1,4.55,0.9020202020202019,1.0
14.0,21.0,4.55,5.0,0.45101010101010097,1.7888543819998317
