theta_low,theta_high,p_low,p_high,best_threshold,best_fom
5.0,6.25,2.5,2.75,0.7292929292929292,43.84284535333754
5.0,6.25,2.75,3.0,0.7388888888888888,43.01073890580049
5.0,6.25,3.0,3.25,0.6717171717171717,41.47415895236286
5.0,6.25,3.25,3.5,0.6429292929292929,37.61663022607445
5.0,6.25,3.5,3.75,0.6045454545454545,34.85620486084276
5.0,6.25,3.75,4.0,0.5181818181818182,31.70036131573286
5.0,6.25,4.0,4.25,0.5277777777777778,28.309161819299707
5.0,6.25,4.25,4.5,0.42222222222222217,26.836322777729325
5.0,6.25,4.5,4.75,0.34545454545454546,23.200950331221915
5.0,6.25,4.75,5.0,0.34545454545454546,21.428904698497004
6.25,7.5,2.5,2.75,0.758080808080808,87.52294710599595
6.25,7.5,2.75,3.0,0.7196969696969696,84.11032545829438
6.25,7.5,3.0,3.25,0.6429292929292929,80.53092984739227
6.25,7.5,3.25,3.5,0.6045454545454545,74.44437131462806
6.25,7.5,3.5,3.75,0.5565656565656565,68.77790342835408
6.25,7.5,3.75,4.0,0.5181818181818182,60.93782824869003
6.25,7.5,4.0,4.25,0.44141414141414137,55.067796717265864
6.25,7.5,4.25,4.5,0.4126262626262626,49.960516545001774
6.25,7.5,4.5,4.75,0.34545454545454546,43.86990063606461
6.25,7.5,4.75,5.0,0.32626262626262625,39.09927775709879
7.5,8.75,2.5,2.75,0.758080808080808,97.30903659022513
7.5,8.75,2.75,3.0,0.7005050505050504,94.00081826557555
7.5,8.75,3.0,3.25,0.6621212121212121,89.33811467023767
7.5,8.75,3.25,3.5,0.6141414141414141,81.45874778182412
7.5,8.75,3.5,3.75,0.5757575757575757,76.10884874533161
7.5,8.75,3.75,4.0,0.5085858585858586,67.01848675453654
7.5,8.75,4.0,4.25,0.44141414141414137,59.939049501743135
7.5,8.75,4.25,4.5,0.403030303030303,53.199769843507056
7.5,8.75,4.5,4.75,0.33585858585858586,46.42886913903136
7.5,8.75,4.75,5.0,0.30707070707070705,40.57010075634229
8.75,10.0,2.5,2.75,0.7388888888888888,102.93681818806111
8.75,10.0,2.75,3.0,0.71010101010101,100.84338842837278
8.75,10.0,3.0,3.25,0.6525252525252525,94.08318093365597
8.75,10.0,3.25,3.5,0.6045454545454545,86.78333333333333
8.75,10.0,3.5,3.75,0.5469696969696969,78.99748951901098
8.75,10.0,3.75,4.0,0.5181818181818182,69.84157361305238
8.75,10.0,4.0,4.25,0.43181818181818177,62.273433116238756
8.75,10.0,4.25,4.5,0.3838383838383838,54.30254359208224
8.75,10.0,4.5,4.75,0.33585858585858586,46.842088381349335
8.75,10.0,4.75,5.0,0.31666666666666665,40.73086341852341
10.0,11.25,2.5,2.75,0.758080808080808,108.07513758708845
10.0,11.25,2.75,3.0,0.7005050505050504,105.71489304496018
10.0,11.25,3.0,3.25,0.6621212121212121,99.45812390927323
10.0,11.25,3.25,3.5,0.6141414141414141,91.26753362405381
10.0,11.25,3.5,3.75,0.5565656565656565,80.60413070914274
10.0,11.25,3.75,4.0,0.4893939393939394,71.95381728507208
10.0,11.25,4.0,4.25,0.42222222222222217,62.528757132719484
10.0,11.25,4.25,4.5,0.3838383838383838,52.410940862136606
10.0,11.25,4.5,4.75,0.34545454545454546,45.2625579656874
10.0,11.25,4.75,5.0,0.26868686868686864,38.476740872605305
