theta_lo,theta_hi,p_lo,p_hi,c_calibrated,c_uncalibrated,delta_c,relative_drift
0.0,7.0,2.5,2.75,0.1201673215870199,0.1112131147540983,0.0089542068329215,0.0745144912499132
0.0,7.0,2.75,3.0,0.1457142857142857,0.1409591294445147,0.0047551562697709,0.032633425380780685
0.0,7.0,3.0,3.25,0.1722103004291845,0.1675078434047197,0.0047024570244648,0.027306479419322086
0.0,7.0,3.25,3.5,0.2137147665124106,0.2139052425007008,0.0001904759882902,0.00089126264599568
0.0,7.0,3.5,3.75,0.2531181217901687,0.2577051077991608,0.004586986008992,0.01812191863842347
0.0,7.0,3.75,4.0,0.3067911983536489,0.3195266272189349,0.012735428865286,0.041511715243556076
0.0,7.0,4.0,4.25,0.3631799163179916,0.3856309487258213,0.0224510324078296,0.06181793485565984
0.0,7.0,4.25,4.5,0.3961887477313974,0.4262162598997899,0.0300275121683924,0.07579092627019796
0.0,7.0,4.5,4.75,0.4425936942296252,0.4762557860449168,0.0336620918152916,0.07605641981385106
0.0,7.0,4.75,5.0,0.4579332418838591,0.4933619679812573,0.0354287260973981,0.07736657411383889
7.0,14.0,2.5,2.75,0.127520892758845,0.1166803081680113,0.0108405845908336,0.08501026268169443
7.0,14.0,2.75,3.0,0.1525841465843457,0.1463228756509589,0.0062612709333867,0.04103487205943499
7.0,14.0,3.0,3.25,0.1825475074620818,0.1772361082420987,0.005311399219983,0.029095983252941802
7.0,14.0,3.25,3.5,0.2274832070887523,0.2280844387391242,0.0006012316503719,0.002642971576083549
7.0,14.0,3.5,3.75,0.2681850990456331,0.2743731714222795,0.0061880723766464,0.02307388590442703
7.0,14.0,3.75,4.0,0.3144659839063643,0.3287726147732422,0.0143066308668778,0.045495002954398255
7.0,14.0,4.0,4.25,0.3677609135293036,0.3910753776378425,0.0233144641085388,0.06339570968756873
7.0,14.0,4.25,4.5,0.4143111239303913,0.4416928637112123,0.027381739780821,0.06608980111627759
7.0,14.0,4.5,4.75,0.4771989193024588,0.5106736965436438,0.0334747772411849,0.07014847663552205
7.0,14.0,4.75,5.0,0.5060128550694588,0.5363502791654423,0.0303374240959835,0.059953860444551706
14.0,21.0,2.5,2.75,0.1351758793969849,0.1237882485969194,0.0113876308000654,0.08424306800048384
14.0,21.0,2.75,3.0,0.1648071104387292,0.1576415289970277,0.0071655814417014,0.043478593991643145
14.0,21.0,3.0,3.25,0.1941689623507805,0.1878528202161097,0.0063161421346708,0.03252910278863326
14.0,21.0,3.25,3.5,0.2346691386195094,0.2369058779827711,0.0022367393632617,0.009531459383282311
14.0,21.0,3.5,3.75,0.2761991155459802,0.2845257536302246,0.0083266380842443,0.030147229355838124
14.0,21.0,3.75,4.0,0.3298197689955165,0.3455576348350697,0.0157378658395531,0.04771656316261333
14.0,21.0,4.0,4.25,0.389108293494076,0.407602473093657,0.0184941795995809,0.047529646396145146
14.0,21.0,4.25,4.5,0.4515902712815716,0.4735959765297569,0.0220057052481853,0.04872936076708458
14.0,21.0,4.5,4.75,0.5243969948596283,0.5483043206879812,0.0239073258283528,0.04559012744676838
14.0,21.0,4.75,5.0,0.5728189085853319,0.5931372549019608,0.0203183463166288,0.035470802398629285
21.0,28.0,2.5,2.75,0.1259150446811115,0.1131535947712418,0.0127614499098697,0.10134968336936184
21.0,28.0,2.75,3.0,0.1566317038315312,0.1505036919107353,0.0061280119207959,0.03912370082743289
21.0,28.0,3.0,3.25,0.1764415098336923,0.1729762672976267,0.0034652425360655,0.019639610539105668
21.0,28.0,3.25,3.5,0.2165285976486929,0.2209569424759298,0.0044283448272369,0.02045154716432272
21.0,28.0,3.5,3.75,0.2646135573088996,0.273131745900964,0.0085181885920643,0.032191051277544694
21.0,28.0,3.75,4.0,0.3392911239018479,0.3513358230393565,0.0120446991375086,0.0354995998686749
21.0,28.0,4.0,4.25,0.4209302325581395,0.4295429815016322,0.0086127489434926,0.02046122677183325
21.0,28.0,4.25,4.5,0.5135135135135135,0.5221097496004262,0.0085962360869127,0.016740038695566836
21.0,28.0,4.5,4.75,0.63875,0.6516203703703703,0.0128703703703703,0.020149307820540585
21.0,28.0,4.75,5.0,0.7353760445682451,0.7429305912596401,0.0075545466913949,0.01027303887201049
28.0,35.0,2.5,2.75,0.1221196368996819,0.1247102457116365,0.0025906088119546,0.021213695665363935
28.0,35.0,2.75,3.0,0.166576234400434,0.1630807181033301,0.0034955162971039,0.020984483829193778
28.0,35.0,3.0,3.25,0.2392618517340121,0.2350289761751448,0.0042328755588672,0.017691393459467564
28.0,35.0,3.25,3.5,0.3532440782698249,0.3494845360824742,0.0037595421873506,0.010642902227164528
28.0,35.0,3.5,3.75,0.5560165975103735,0.5573770491803278,0.0013604516699543,0.002446782481037211
28.0,35.0,3.75,4.0,0.5542168674698795,0.5581395348837209,0.0039226674138413,0.007077856420626694
28.0,35.0,4.0,4.25,0.6829268292682927,0.675,0.0079268292682926,0.011607142857142734
28.0,35.0,4.25,4.5,0.2424242424242424,0.2424242424242424,0.0,0.0
28.0,35.0,4.5,4.75,0.25,0.25,0.0,0.0
28.0,35.0,4.75,5.0,0.25,0.4,0.15,0.6
