p_lo,p_hi,contamination_initial,contamination_initial_err,theta_lo,theta_hi
2.75,2.975,0.09518741005599214,0.02017513315023327,5.0,20.0
2.975,3.2,0.09474006882643493,0.02706288744157035,5.0,20.0
3.2,3.425,0.18864287170572772,0.04092940827035962,5.0,20.0
3.425,3.65,0.2544718185221123,0.05066017051517128,5.0,20.0
3.65,3.875,0.30544592188613046,0.040061377138785055,5.0,20.0
3.875,4.1,0.36461977301329096,0.045780990672048875,5.0,20.0
4.1,4.325,0.37545107579574394,0.047739631526662135,5.0,20.0
4.325,4.55,0.4969538336055387,0.06147791692469244,5.0,20.0
4.55,4.775,0.516004456474346,0.05091875483399832,5.0,20.0
4.775,5.0,0.5501881240205746,0.04645830249640257,5.0,20.0
