theta_lo,theta_hi,p_lo,p_hi,contamination_initial,contamination_initial_err,contamination_shifted,contamination_shifted_err,delta_c
5.0,20.0,2.75,2.975,0.13404826426110672,0.05916582021986667,0.0869345468838618,0.04493325404425458,0.047113717377244915
5.0,20.0,2.975,3.2,0.07480181265045102,0.04751777532815118,0.0739792179039234,0.036044183718773416,0.0008225947465276273
5.0,20.0,3.2,3.425,0.2172444105944256,0.08947759357679576,0.13918530259090425,0.04352293493849413,0.07805910800352134
5.0,20.0,3.425,3.65,0.12659913466130598,0.027306143385664103,0.11526903352029735,0.02141767573817866,0.01133010114100863
5.0,20.0,3.65,3.875,0.2427516220295525,0.04886949073997877,0.2914510840052138,0.04715218000886069,0.0486994619756613
5.0,20.0,3.875,4.1,0.3339634709054904,0.07235510358063948,0.36275520433050285,0.05675316372280895,0.028791733425012456
5.0,20.0,4.1,4.325,0.3349067320937646,0.06160402589771153,0.3251343634290377,0.04285623789174855,0.009772368664726916
5.0,20.0,4.325,4.55,0.44779449178303954,0.08141226312096882,0.40156339304029504,0.05445405926990464,0.0462310987427445
5.0,20.0,4.55,4.775,0.4091981952541951,0.06297144332170651,0.4031673380547769,0.051118099077242234,0.006030857199418205
5.0,20.0,4.775,5.0,0.49937336322088755,0.07795118332769095,0.5066109036044397,0.0684826777919136,0.007237540383552177
