p_lo,p_hi,p_center,contamination,stat_err,syst_err,N_overlap_bins
2.75,2.975,2.8625,0.0951874100559921,0.0201751331502332,0.05236391825426155,1
2.975,3.2,3.0875000000000004,0.0947400688264349,0.0270628874415703,0.02276366444231335,1
3.2,3.425,3.3125,0.1886428717057277,0.0409294082703596,0.08354886611520085,1
3.425,3.65,3.5374999999999996,0.2544718185221123,0.0506601705151712,0.032646969887797306,1
3.65,3.875,3.7625,0.3054459218861304,0.040061377138785,0.06364390009179006,1
3.875,4.1,3.9875,0.3646197730132909,0.0457809906720488,0.05415470502830415,1
4.1,4.325,4.2125,0.3754510757957439,0.0477396315266621,0.06552168351634774,1
4.325,4.55,4.4375,0.4969538336055387,0.0614779169246924,0.0917972253412024,1
4.55,4.775,4.6625,0.516004456474346,0.0509187548339983,0.10619459499201143,1
4.775,5.0,4.8875,0.5501881240205746,0.0464583024964025,0.1143895285916449,1
