p_lo,p_hi,theta_lo,theta_hi,p_center,contamination,stat_err,syst_err,N_true,N_contam
0.5,0.95,5,15,0.725,0.15630114566284778,0.012161326706631932,0.028615970956455298,1222,191
0.95,1.4,5,15,1.1749999999999998,0.15343915343915343,0.0061201847889811025,0.0250292553306362,4725,725
1.4,1.85,5,15,1.625,0.1586333129957291,0.005294814266131772,0.0187616994062189,6556,1040
1.85,2.3,5,15,2.075,0.1814780168381665,0.00535287328106883,0.0186536302400796,7483,1358
2.3,2.75,5,15,2.525,0.19858156028368795,0.005490345634241402,0.018944417333340336,7896,1568
2.75,3.2,5,15,2.975,0.23757495003331114,0.006259083280045715,0.0220483545511572,7505,1783
3.2,3.65,5,15,3.425,0.2987695078031212,0.007630740479764326,0.02999180861270727,6664,1991
3.65,4.1,5,15,3.875,0.4018628281117697,0.009767461930852971,0.040782132936695574,5905,2373
4.1,4.55,5,15,4.324999999999999,0.4736484958154264,0.01256506606370103,0.06270537557158051,4421,2094
4.55,5.0,5,15,4.775,0.5373134328358209,0.016026439189392772,0.08174305048498882,3216,1728
