p_lo,p_hi,theta_lo,theta_hi,p_center,contamination,stat_err,syst_err,N_true,N_contam
2.75,2.975,5,20,2.8625,0.23335621139327384,0.007027391900507456,0.05236391825426155,5828,1360
2.975,3.2,5,20,3.0875000000000004,0.25549401465070576,0.007570421058280046,0.02276366444231335,5597,1430
3.2,3.425,5,20,3.3125,0.29253788605409553,0.008516650743515985,0.08354886611520085,5213,1525
3.425,3.65,5,20,3.5374999999999996,0.3159090909090909,0.009720031385893248,0.032646969887797306,4400,1390
3.65,3.875,5,20,3.7625,0.38961038961038963,0.011205272303220494,0.06364390009179006,4312,1680
3.875,4.1,5,20,3.9875,0.4185258401581474,0.012948420681570256,0.05415470502830415,3541,1482
4.1,4.325,5,20,4.2125,0.4669950738916256,0.014999501611103649,0.06552168351634774,3045,1422
4.325,4.55,5,20,4.4375,0.5013983220135837,0.017342391112451932,0.0917972253412024,2503,1255
4.55,4.775,5,20,4.6625,0.5313376987839102,0.01950818888445053,0.10619459499201143,2138,1136
4.775,5.0,5,20,4.8875,0.5596046942557134,0.023217984500273438,0.1143895285916449,1619,906
