p_lo,p_hi,p_center,contamination,stat_err,syst_err,N_overlap_bins
2.75,2.975,2.8625,0.1208513708513708,0.0761283674779157,0.0527199370731741,3
2.975,3.2,3.0875000000000004,0.13423520923520918,0.07140911391414888,0.0419980905667685,6
3.2,3.425,3.3125,0.17751046767440204,0.0733791019241193,0.034573094063461,6
3.425,3.65,3.5374999999999996,0.2340746211135555,0.08769381320871204,0.04709342187320955,6
3.65,3.875,3.7625,0.27314344930906714,0.10135095574236552,0.052679570259307466,6
3.875,4.1,3.9875,0.31878517822285485,0.11878508672235544,0.0490619625174253,6
4.1,4.325,4.2125,0.3610122119023047,0.12819514214539804,0.06513617807151005,6
4.325,4.55,4.4375,0.3829678202325934,0.13786093476249406,0.0780343890570721,6
4.55,4.775,4.6625,0.4327625387579621,0.15683494929868433,0.10100015165908387,6
4.775,5.0,4.8875,0.4695830485304169,0.16415076848362917,0.1053787998179864,3
