p_lo,p_hi,theta_lo,theta_hi,p_center,calibration_sensitivity,weighted_contamination_comparison_granular,threshold_sensitivity,per_bin_sweep_uncertianties,quadrature
0.5,0.8,5,15,0.65,,0.02506243371821712,0.02142727583557895,0.0009436066416524,0.034474149455246295
0.8,0.95,5,15,0.875,,0.007386913319124083,0.02142727583557895,0.0009436066416524,0.02275779245766449
0.95,1.1,5,15,1.025,,0.007386913319124083,0.0226423657473242,0.0009436066416524,0.02384773030121615
1.1,1.4,5,15,1.25,,0.013143650443232166,0.0226423657473242,0.0009436066416524,0.026210780360056373
1.4,1.7,5,15,1.5499999999999998,,0.0027522799654544666,0.01852942368294045,0.0006519403831439,0.018752786895735892
1.7,1.85,5,15,1.775,,0.00288321669240895,0.01852942368294045,0.0006519403831439,0.018770611916702085
1.85,2.0,5,15,1.925,,0.00288321669240895,0.01846453757142585,0.0006519403831439,0.01870413652487483
2.0,2.3,5,15,2.15,,0.0021583536136026166,0.01846453757142585,0.0006519403831439,0.018603123955284438
2.3,2.5,5,15,2.4,,0.003007628831584367,0.0165824575787089,0.0006346484874455,0.016865968989223122
2.5,2.6,5,15,2.55,0.01061736266605355,0.003007628831584367,0.0165824575787089,0.0006346484874455,0.019938468452186383
2.6,2.75,5,15,2.675,0.01061736266605355,0.003533396612771617,0.0165824575787089,0.0006346484874455,0.020028814558611673
2.75,2.9,5,15,2.825,0.0061609702408365165,0.003533396612771617,0.02087983459602845,0.0006346484874455,0.022075743344857967
2.9,3.0,5,15,2.95,0.0061609702408365165,0.003893090784634083,0.02087983459602845,0.0006346484874455,0.022139363745403262
3.0,3.2,5,15,3.1,0.005377366006511266,0.003893090784634083,0.02087983459602845,0.0006346484874455,0.021929956563210548
3.2,3.25,5,15,3.225,0.005377366006511266,0.004134004673387116,0.02918023511839575,,0.029973117749647296
3.25,3.5,5,15,3.375,0.0008053569921732499,0.004134004673387116,0.02918023511839575,,0.02950044676346494
3.5,3.65,5,15,3.575,0.006277652266636982,0.005841976734862884,0.02918023511839575,,0.030501861325009785
3.65,3.75,5,15,3.7,0.006277652266636982,0.005841976734862884,0.03660435757352995,,0.037664484473029246
3.75,3.8,5,15,3.775,0.014283303028725049,0.005841976734862884,0.03660435757352995,,0.03978395316435098
3.8,4.0,5,15,3.9,0.014283303028725049,0.011249911044750233,0.03660435757352995,,0.04109462215554128
4.0,4.1,5,15,4.05,0.022367178073594285,0.011249911044750233,0.03660435757352995,,0.04458547195386101
4.1,4.25,5,15,4.175,0.022367178073594285,0.022464673617092968,0.04589785870472455,,0.05648952810486483
4.25,4.4,5,15,4.325,0.026926696089976953,0.022464673617092968,0.04589785870472455,,0.058478128437463174
4.4,4.5,5,15,4.45,0.026926696089976953,0.038062225717682134,0.04589785870472455,,0.06679981663412503
4.5,4.55,5,15,4.525,0.03191142110139734,0.038062225717682134,0.04589785870472455,,0.06905402910986917
4.55,4.7,5,15,4.625,0.03191142110139734,0.038062225717682134,0.052682452663460645,,0.07397152634944576
4.7,4.75,5,15,4.725,0.03191142110139734,0.05727841522768601,0.052682452663460645,,0.08602084375792524
4.75,5.0,5,15,4.875,0.029516128132993483,0.05727841522768601,0.052682452663460645,,0.08523678134759564
