p_lo,p_hi,theta_lo,theta_hi,p_center,calibration_sensitivity,weighted_contamination_comparison_granular,threshold_sensitivity,mx_width_sensitivity,quadrature
2.75,2.9,5,20,2.825,0.006495840641124811,0.004136021118931856,0.021382471374723086,0.0471137173772449,0.05233906838411108
2.9,2.975,5,20,2.9375,0.006495840641124811,0.0046505338573736,0.021382471374723086,0.0471137173772449,0.05238876812441211
2.975,3.0,5,20,2.9875,0.006495840641124811,0.0046505338573736,0.021382471374723086,0.0008225947465276,0.022872869563491535
3.0,3.2,5,20,3.1,0.005690291382564445,0.0046505338573736,0.021382471374723086,0.0008225947465276,0.022654459321135273
3.2,3.25,5,20,3.225,0.005690291382564445,0.0059075660722887665,0.028726613389083347,0.0780591080035213,0.08363965171035694
3.25,3.425,5,20,3.3375,0.0012824844492027334,0.0059075660722887665,0.028726613389083347,0.0780591080035213,0.08345808052004483
3.425,3.5,5,20,3.4625,0.0012824844492027334,0.0059075660722887665,0.028726613389083347,0.0113301011410086,0.03162481062225593
3.5,3.65,5,20,3.575,0.0069606475391727545,0.009636054367341466,0.028726613389083347,0.0113301011410086,0.03366912915333872
3.65,3.75,5,20,3.7,0.0069606475391727545,0.009636054367341466,0.035404557183843166,0.0486994619756613,0.061749574815117905
3.75,3.8,5,20,3.775,0.014768157299001066,0.009636054367341466,0.035404557183843166,0.0486994619756613,0.06310222904092466
3.8,3.875,5,20,3.8375,0.014768157299001066,0.019052609450438854,0.035404557183843166,0.0486994619756613,0.06607989641932777
3.875,4.0,5,20,3.9375,0.014768157299001066,0.019052609450438854,0.035404557183843166,0.0287917334250124,0.05305571484083819
4.0,4.1,5,20,4.05,0.021076178582256487,0.019052609450438854,0.035404557183843166,0.0287917334250124,0.05525369521577027
4.1,4.25,5,20,4.175,0.021076178582256487,0.037359294069979815,0.04193220677231876,0.0097723686647269,0.06471575297437371
4.25,4.325,5,20,4.2875,0.02528636580937973,0.037359294069979815,0.04193220677231876,0.0097723686647269,0.06632761405832185
4.325,4.4,5,20,4.362500000000001,0.02528636580937973,0.037359294069979815,0.04193220677231876,0.0462310987427445,0.08052786835085704
4.4,4.5,5,20,4.45,0.02528636580937973,0.06198720939107684,0.04193220677231876,0.0462310987427445,0.09675672734915872
4.5,4.55,5,20,4.525,0.029243389343715825,0.06198720939107684,0.04193220677231876,0.0462310987427445,0.09810708032359156
4.55,4.7,5,20,4.625,0.029243389343715825,0.06198720939107684,0.046395566211099776,0.0060308571994182,0.08928118652939847
4.7,4.75,5,20,4.725,0.029243389343715825,0.09359247167981716,0.046395566211099776,0.0060308571994182,0.11499266463518706
4.75,4.775,5,20,4.7625,0.026450200860871922,0.09359247167981716,0.046395566211099776,0.0060308571994182,0.11430993381144895
4.775,5.0,5,20,4.8875,0.026450200860871922,0.09359247167981716,0.046395566211099776,0.0072375403835521,0.11438952859164497
