p_lo,p_hi,theta_lo,theta_hi,p_center,calibration_sensitivity,weighted_contamination_comparison_granular,threshold_sensitivity,rich_contamination_binned,quadrature
2.75,2.9,0,20,2.825,0.006234062042269655,0.0038226143174423903,0.0211849109562107,0.06056096681096677,0.052707105529334594
2.9,3.0,0,20,2.95,0.006234062042269655,0.00408505587274814,0.0211849109562107,0.06056096681096677,0.052732768617013724
3.0,3.2,0,20,3.1,0.005474703252076363,0.00408505587274814,0.0211849109562107,0.02666778975741231,0.03126341251652332
3.2,3.25,0,20,3.225,0.005474703252076363,0.0047693734332771,0.028940569461928474,0.02666778975741231,0.03650802812847911
3.25,3.5,0,20,3.375,0.0009725963607815364,0.0047693734332771,0.028940569461928474,0.019573309204456674,0.03263815999844299
3.5,3.65,0,20,3.575,0.0064802109573268455,0.00725892014848125,0.028940569461928474,0.0647525516868189,0.06154868374797628
3.65,3.75,0,20,3.7,0.0064802109573268455,0.00725892014848125,0.03603636494437311,0.0647525516868189,0.06566278810233551
3.75,3.8,0,20,3.775,0.014411294586408918,0.00725892014848125,0.03603636494437311,0.0298487882096039,0.04524338717258104
3.8,4.0,0,20,3.9,0.014411294586408918,0.01424282833987775,0.03603636494437311,0.0298487882096039,0.04713253550300591
4.0,4.1,0,20,4.05,0.021842853478694062,0.01424282833987775,0.03603636494437311,0.030146263050674787,0.05099138953184477
4.1,4.25,0,20,4.175,0.021842853478694062,0.02794352847493748,0.04401684244836925,0.030146263050674787,0.061992368196040995
4.25,4.4,0,20,4.325,0.026396598069660607,0.02794352847493748,0.04401684244836925,0.03575877532797363,0.06827998794697925
4.4,4.5,0,20,4.45,0.026396598069660607,0.046612771926005304,0.04401684244836925,0.03575877532797363,0.07782994076626824
4.5,4.55,0,20,4.525,0.030899529505704636,0.046612771926005304,0.04401684244836925,0.05443445570447851,0.08799323845796897
4.55,4.7,0,20,4.625,0.030899529505704636,0.046612771926005304,0.049636303582496835,0.05443445570447851,0.09095233001937873
4.7,4.75,0,20,4.725,0.030899529505704636,0.07222954016542006,0.049636303582496835,0.05443445570447851,0.10666932513988657
4.75,5.0,0,20,4.875,0.028530639610962142,0.07222954016542006,0.049636303582496835,0.042235724801514204,0.10537879981798648
