p_lo,p_hi,p_center,theta_lo,theta_hi,calibration_sensitivity,weighted_contamination_comparison_granular,threshold_sensitivity,per_bin_sweep_uncertianties,quadrature
0.5,0.95,0.725,5,15,,0.016224673518670598,0.02142727583557895,0.0009436066416523998,0.026893467125225914
0.95,1.4,1.1749999999999998,5,15,,0.010265281881178126,0.0226423657473242,0.0009436066416523998,0.024878567728665868
1.4,1.85,1.625,5,15,,0.0028177483289317084,0.018529423682940447,0.0006519403831439001,0.018753780257065124
1.85,2.3,2.075,5,15,,0.0025207851530057836,0.01846453757142585,0.0006519403831439001,0.018647212439863097
2.3,2.75,2.525,5,15,0.01061736266605355,0.0031828847586467834,0.016582457578708902,0.0006346484874455,0.01995594706902258
2.75,3.2,2.975,5,15,0.005899768829394766,0.0037731927273465934,0.02087983459602845,0.0006346484874455,0.022032124887493777
3.2,3.65,3.425,5,15,0.004153458421773833,0.004703328693879039,0.02918023511839575,,0.029847255137263905
3.65,4.1,3.875,5,15,0.014302859099420343,0.008545943889806559,0.03660435757352995,,0.04021795530302893
4.1,4.55,4.324999999999999,5,15,0.02703299783873638,0.03026344966738755,0.04589785870472455,,0.06126395997320516
4.55,5.0,4.775,5,15,0.031112990111929386,0.05087301872435138,0.052682452663460645,,0.07957086782529768
