p_lo,p_hi,p_center,theta_lo,theta_hi,calibration_sensitivity,weighted_contamination_comparison_granular,threshold_sensitivity,mx_width_sensitivity,quadrature
2.75,2.975,2.8625,5,20,0.006495840641124811,0.004393277488152728,0.021382471374723086,0.0471137173772449,0.05232981253469726
2.975,3.2,3.0875000000000004,5,20,0.006093066011844627,0.004650533857373599,0.021382471374723086,0.0008225947465276,0.02272970881448201
3.2,3.425,3.3125,5,20,0.0034863879158835887,0.005907566072288767,0.028726613389083347,0.0780591080035213,0.08345955245931852
3.425,3.65,3.5374999999999996,5,20,0.004121565994187745,0.007771810219815118,0.028726613389083347,0.0113301011410086,0.03210884378187129
3.65,3.875,3.7625,5,20,0.012165654045724963,0.012774906061707265,0.035404557183843166,0.0486994619756613,0.06274011180535631
3.875,4.1,3.9875,5,20,0.017922167940628776,0.019052609450438854,0.035404557183843166,0.0287917334250124,0.05259897920648319
4.1,4.325,4.2125,5,20,0.023181272195818108,0.037359294069979815,0.04193220677231876,0.009772368664726899,0.06153777204400294
4.325,4.55,4.4375,5,20,0.026605373654158423,0.0537779042840445,0.04193220677231876,0.04623109874274451,0.08657674833475283
4.55,4.775,4.6625,5,20,0.028312326516101185,0.08305738425023707,0.04639556621109978,0.0060308571994182,0.0994436358640118
4.775,5.0,4.8875,5,20,0.026450200860871922,0.09359247167981716,0.046395566211099776,0.0072375403835521,0.10800043720082773
