p_lo,p_hi,p_center,theta_lo,theta_hi,calibration_sensitivity,weighted_contamination_comparison_granular,threshold_sensitivity,rich_contamination_binned,quadrature
2.75,2.975,2.8625,0,20,0.006234062042269655,0.003953835095095265,0.021184910956210702,0.06056096681096675,0.06458271823644207
2.975,3.2,3.0875000000000004,0,20,0.005854382647173009,0.00408505587274814,0.021184910956210702,0.04361437828418953,0.04900995738624911
3.2,3.425,3.3125,0,20,0.0032236498064289504,0.0047693734332771,0.028940569461928474,0.02312054948093449,0.037486733788122784
3.425,3.65,3.5374999999999996,0,20,0.003726403659054191,0.006014146790879175,0.028940569461928474,0.042162930445637785,0.051626788689563594
3.65,3.875,3.7625,0,20,0.01176760004338156,0.009586889545613415,0.03603636494437311,0.04148337603534224,0.05700767446260578
3.875,4.1,3.9875,0,20,0.018127074032551493,0.01424282833987775,0.03603636494437311,0.029997525630139344,0.05224863744094899
4.1,4.325,4.2125,0,20,0.02411972577417734,0.02794352847493748,0.044016842448369245,0.0329525191893242,0.06622652712545402
4.325,4.55,4.4375,0,20,0.027897575215008616,0.040389690775649356,0.04401684244836925,0.04198400212014192,0.07816483017942455
4.55,4.775,4.6625,0,20,0.03010989954079047,0.06369061741894848,0.049636303582496835,0.05036821207015708,0.09981893717146793
4.775,5.0,4.8875,0,20,0.028530639610962152,0.07222954016542006,0.04963630358249684,0.042235724801514204,0.10138403696816213
