p_low,p_high,theta_low,theta_high,best_threshold,C_base,C_plus,C_minus,delta_c_plus,delta_c_minus,delta_c_total,n_events,relative_drift
0.5,0.95,5.0,11.0,0.8540404040404039,0.0585835033517924,0.0471727263363889,0.0643634642688121,0.0114107770154035,0.0057799609170196,0.0171907379324232,15513,0.2934399096823088
0.95,1.4,5.0,11.0,0.8156565656565656,0.0745000518081027,0.0621970221606648,0.0848252001448284,0.0123030296474379,0.0103251483367256,0.0226281779841635,84363,0.30373372145363314
1.4,1.85,5.0,11.0,0.758080808080808,0.0811390511669912,0.071071027246326,0.089207701106655,0.0100680239206651,0.0080686499396638,0.018136673860329,116329,0.22352583126714354
1.85,2.3,5.0,11.0,0.71010101010101,0.0986150111846175,0.0896522934878695,0.1069771757283355,0.008962717696748,0.0083621645437179,0.0173248822404659,129896,0.17568199843360488
2.3,2.75,5.0,11.0,0.6429292929292929,0.1231466732018135,0.1149034554590301,0.1306276432663977,0.0082432177427834,0.0074809700645842,0.0157241878073676,138843,0.12768666337903184
2.75,3.2,5.0,11.0,0.5469696969696969,0.1587316102925206,0.149449068381727,0.1687511067823623,0.0092825419107936,0.0100194964898416,0.0193020384006352,145064,0.12160172989528796
3.2,3.65,5.0,11.0,0.4797979797979798,0.2288120362525353,0.2136402869935804,0.2435312396775101,0.0151717492589549,0.0147192034249747,0.0298909526839297,139671,0.13063540351059003
3.65,4.1,5.0,11.0,0.4126262626262626,0.302784222737819,0.2857748430749164,0.3229408497244022,0.0170093796629025,0.0201566269865831,0.0371660066494857,121930,0.12274750088833976
4.1,4.55,5.0,11.0,0.3166666666666666,0.3980089927742883,0.3753753753753753,0.4232026918155537,0.022633617398913,0.0251936990412653,0.0478273164401784,98541,0.12016642163485328
4.55,5.0,5.0,11.0,0.2782828282828282,0.4735578571918513,0.4469849574885546,0.5040084137000437,0.0265728997032966,0.0304505565081923,0.057023456211489,69957,0.1204149722055762
0.5,0.95,11.0,17.0,0.8732323232323231,0.0596320379672717,0.0415992843133881,0.0672630980521229,0.0180327536538835,0.0076310600848511,0.0256638137387347,52370,0.4303695565933863
0.95,1.4,11.0,17.0,0.8252525252525252,0.0726522973139731,0.059243397573162,0.0818999510836469,0.013408899740811,0.0092476537696738,0.0226565535104849,174717,0.311849099727331
1.4,1.85,11.0,17.0,0.758080808080808,0.0815277506669269,0.0710336457420268,0.0899558192475787,0.0104941049249,0.0084280685806518,0.0189221735055519,206703,0.23209487997352535
1.85,2.3,11.0,17.0,0.7196969696969696,0.1005621160613109,0.0899168880924426,0.1095210809948285,0.0106452279688682,0.0089589649335176,0.0196041929023858,212260,0.19494610565308193
2.3,2.75,11.0,17.0,0.6525252525252525,0.1267045371145067,0.1180483083019495,0.1354890356519998,0.0086562288125571,0.0087844985374931,0.0174407273500502,215826,0.13764879890834922
2.75,3.2,11.0,17.0,0.5565656565656565,0.1693588858917257,0.1581071733734792,0.180564804164901,0.0112517125182464,0.0112059182731752,0.0224576307914217,212530,0.13260379384982068
3.2,3.65,11.0,17.0,0.4702020202020202,0.2361475710616196,0.2223660035166051,0.250835521069467,0.0137815675450145,0.0146879500078473,0.0284695175528618,183043,0.12055816379933484
3.65,4.1,11.0,17.0,0.3742424242424242,0.3273732906827074,0.3104561805101373,0.3464988890077116,0.01691711017257,0.0191255983250042,0.0360427084975742,134750,0.11009666800370424
4.1,4.55,11.0,17.0,0.307070707070707,0.4273458852110537,0.4063474897050871,0.4503158906743579,0.0209983955059666,0.0229700054633041,0.0439684009692707,87962,0.10288715181510637
4.55,5.0,11.0,17.0,0.2398989898989899,0.5313385469794855,0.5077341272409552,0.5560755763563876,0.0236044197385302,0.0247370293769021,0.0483414491154323,50851,0.0909805045958744
0.5,0.95,17.0,23.0,0.8540404040404039,0.0520697625551586,0.0417701411727856,0.057860755849817,0.010299621382373,0.0057909932946583,0.0160906146770313,75207,0.3090203198062632
0.95,1.4,17.0,23.0,0.8156565656565656,0.0753860376564058,0.0625569418737353,0.0845830033017986,0.0128290957826705,0.0091969656453927,0.0220260614280633,193125,0.2921769350506735
1.4,1.85,17.0,23.0,0.758080808080808,0.0812289339474473,0.069581484062649,0.0907224994203172,0.0116474498847983,0.0094935654728698,0.0211410153576682,190546,0.26026459206451985
1.85,2.3,17.0,23.0,0.71010101010101,0.104040722471535,0.0917373819007485,0.1138355818483514,0.0123033405707865,0.0097948593768164,0.0220981999476029,170555,0.2123995241733241
2.3,2.75,17.0,23.0,0.6621212121212121,0.1291432052907245,0.1198372267662519,0.1384762359684738,0.0093059785244725,0.0093330306777493,0.0186390092022219,159746,0.14432822199404258
