p_lo,p_hi,theta_lo,theta_hi,n_data,n_mc,weight
0.5,0.8,5.0,7.0,1052,486,2.1646090534979425
0.5,0.8,7.0,9.0,4331,2228,1.9438958707360863
0.5,0.8,9.0,11.0,9893,5018,1.971502590673575
0.5,0.8,11.0,13.0,18618,9304,2.001074806534824
0.5,0.8,13.0,15.0,29048,14152,2.0525720746184284
0.5,0.8,15.0,17.0,39443,18543,2.1271099606320445
0.5,0.8,17.0,19.0,48094,22928,2.0976099092812284
0.5,0.8,19.0,21.0,56207,26261,2.1403221507177945
0.5,0.8,21.0,23.0,61234,28830,2.1239680887963925
0.5,0.8,23.0,25.0,63505,30379,2.090424306264196
0.5,0.8,25.0,27.0,62401,29804,2.093712253388807
0.5,0.8,27.0,29.0,58343,29068,2.0071212329709645
0.5,0.8,29.0,31.0,55658,27622,2.0149880530012307
0.5,0.8,31.0,33.0,55416,27118,2.0435135334464194
0.5,0.8,33.0,35.0,53817,25608,2.1015698219306467
0.8,1.1,5.0,7.0,8508,4724,1.8010160880609654
0.8,1.1,7.0,9.0,29808,15970,1.8664996869129618
0.8,1.1,9.0,11.0,43156,22655,1.904921650849702
0.8,1.1,11.0,13.0,56686,29076,1.9495804099601046
0.8,1.1,13.0,15.0,67358,33844,1.9902493795059686
0.8,1.1,15.0,17.0,73835,36758,2.0086783829370476
0.8,1.1,17.0,19.0,80958,40148,2.0164889907342833
0.8,1.1,19.0,21.0,84244,40906,2.0594533809221143
0.8,1.1,21.0,23.0,84794,40848,2.0758421464943204
0.8,1.1,23.0,25.0,81998,40056,2.047084082284801
0.8,1.1,25.0,27.0,74688,36989,2.0191948957798265
0.8,1.1,27.0,29.0,66390,32519,2.041575694209539
0.8,1.1,29.0,31.0,55931,27356,2.044560608276064
0.8,1.1,31.0,33.0,45222,21036,2.149743297204792
0.8,1.1,33.0,35.0,42027,20352,2.065005896226415
1.1,1.4,5.0,7.0,11384,6764,1.6830277942046126
1.1,1.4,7.0,9.0,36688,20729,1.7698875970862078
1.1,1.4,9.0,11.0,49029,27260,1.798569332355099
1.1,1.4,11.0,13.0,60022,32773,1.8314466176425717
1.1,1.4,13.0,15.0,68090,36839,1.8483129292326068
1.1,1.4,15.0,17.0,73106,38397,1.9039508294918874
1.1,1.4,17.0,19.0,76009,39926,1.9037469318238742
1.1,1.4,19.0,21.0,76479,39157,1.9531373700743162
1.1,1.4,21.0,23.0,73990,37820,1.9563722897937599
1.1,1.4,23.0,25.0,69519,34711,2.002794503183429
1.1,1.4,25.0,27.0,62061,30727,2.019754613206626
1.1,1.4,27.0,29.0,53981,26306,2.0520413593856914
1.1,1.4,29.0,31.0,47890,22517,2.126837500555136
1.1,1.4,31.0,33.0,36709,16293,2.2530534585404776
1.1,1.4,33.0,35.0,27904,13209,2.112499053675524
1.4,1.7,5.0,7.0,13067,7939,1.645925179493639
1.4,1.7,7.0,9.0,36467,21564,1.6911055462808384
1.4,1.7,9.0,11.0,46805,27672,1.6914209309048858
1.4,1.7,11.0,13.0,57171,32378,1.765735993575885
